split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hb_graph_pr_auc
1,2763,625,5.971769815418024,6.5600000000000005,0.12755192965199205,0.27575925543225677,0.24947151137492854,0.32741412043143886
2,2766,622,6.36297903109183,4.823151125401929,0.14910687173644743,0.14064566565887687,0.1292822546338662,0.19870291949250168
3,2731,657,6.224826071036251,5.47945205479452,0.1556079077306047,0.17737316684272436,0.16928190312694752,0.17784029200992368
4,2806,582,6.343549536707056,4.810996563573884,0.12726825564060462,0.20005606368822398,0.22380093910920917,0.18390929133899125
5,2660,728,6.12781954887218,5.906593406593406,0.20910544744225262,0.18419590143586945,0.19341183996671177,0.2291790744232946
6,2780,608,6.294964028776978,5.098684210526316,0.20695469049703102,0.34492375483544535,0.37346342383199965,0.3929484419043025
7,2682,706,5.704697986577181,7.507082152974505,0.24617696304210612,0.195271634436767,0.1812470300960254,0.22008248817416012
8,2723,665,6.022769004774147,6.315789473684211,0.14610700853410422,0.18477987880602717,0.16082607838355986,0.20853736744332146
9,2813,575,6.1500177746178455,5.739130434782608,0.17805899248626855,0.3093791942630244,0.3342447718161996,0.3827936072203916
10,2750,638,5.818181818181818,7.210031347962382,0.30877957915918064,0.33867164940654865,0.33053845948712196,0.3244489378888264
11,2592,796,5.7484567901234565,7.160804020100503,0.1517562456661622,0.17084468468337022,0.14625689048122809,0.2981991331271117
12,2775,613,5.837837837837838,7.177814029363784,0.2818585721443169,0.3185299132136518,0.32720957037809945,0.33607772051174883
13,2758,630,6.018854242204496,6.349206349206349,0.19692064621685287,0.1611493515684102,0.17064259670000556,0.20887312107165665
14,2713,675,6.266126059712496,5.333333333333334,0.16374127652850945,0.21696922818697817,0.19878229940450132,0.19514008750821576
15,2731,657,6.371292566825339,4.87062404870624,0.12887690024883408,0.1561087023118504,0.156089311204197,0.22377375459290777
16,2710,678,6.4206642066420665,4.71976401179941,0.17048880963661003,0.19644228086143178,0.24509270067124447,0.2717916633147649
17,2702,686,5.884529977794227,6.851311953352769,0.2150591641025202,0.2124640587882611,0.20161014899996116,0.28106319548760916
18,2677,711,6.462457975345536,4.641350210970464,0.2244121269286624,0.23628588177913007,0.2450637430677223,0.31315135492439056
19,2700,688,6.444444444444445,4.651162790697675,0.18577719613617866,0.17588072480420325,0.2119762869272695,0.21262592158525473
20,2637,751,6.370875995449373,5.0599201065246335,0.27437594794943454,0.36804567853728615,0.3134522962142312,0.45911493299237655
21,2758,630,5.8013052936910805,7.301587301587302,0.19200984956542821,0.234572513118956,0.26560520402446086,0.33151184185113763
22,2701,687,5.960755275823769,6.550218340611353,0.17665643572469422,0.18157437980334687,0.1878612482258597,0.19970359590731593
23,2809,579,6.123175507297971,5.872193436960276,0.15443067806316216,0.3026679921430818,0.3640278701028407,0.3390637815702009
24,2800,588,6.0,6.462585034013606,0.26122475065213435,0.18844338824529985,0.21473178320044353,0.23504395512102297
25,2652,736,6.070889894419306,6.114130434782608,0.18995093296292803,0.2330685243470354,0.2600921696718755,0.25706413770882025
26,2676,712,6.427503736920777,4.775280898876404,0.2860085626796273,0.30257930411087774,0.3076259423935325,0.35580786352419047
27,2769,619,6.211628746840015,5.492730210016155,0.2754162875590563,0.23316339866032212,0.3237427395744868,0.31549048105793503
28,2781,607,6.076950737144912,6.095551894563426,0.2122633746886047,0.2812820579078159,0.21091710487021692,0.3154443030223587
29,2652,736,5.957767722473605,6.521739130434782,0.1578354072146933,0.20160258595079694,0.18720957072155606,0.15240339492655752
30,2728,660,6.121700879765396,5.909090909090909,0.11522009260702336,0.12579047922713793,0.14611031487126505,0.15424514045732757
31,2762,626,6.2997827661115124,5.111821086261981,0.31580831247027363,0.25601600455627155,0.2604728881071417,0.3489808903840562
32,2754,634,6.245461147421931,5.3627760252365935,0.123121522424399,0.24896926008809497,0.31458477603353335,0.22900553931234377
33,2742,646,6.272793581327499,5.263157894736842,0.20674017558537905,0.2509899230184544,0.25614644759714456,0.2277603683818888
34,2753,635,5.99346167816927,6.456692913385827,0.28974864104681186,0.2314902052701886,0.2027141753881189,0.3651545856663117
35,2774,614,6.164383561643835,5.700325732899023,0.28072260222745554,0.18425220595094474,0.14984337762917602,0.21528419155526504
36,2737,651,6.138107416879795,5.837173579109063,0.14647717767117407,0.2378733571850531,0.2936913439276265,0.2891182256334043
37,2793,595,5.943430003580379,6.722689075630252,0.14704639732950425,0.2651952083416933,0.23243515302675563,0.2022338814982434
38,2789,599,5.916098960200788,6.844741235392321,0.2858778818120143,0.2751525494284111,0.20342664753343964,0.37329761330079014
39,2702,686,6.10658771280533,5.97667638483965,0.26445110197496347,0.15408699264868853,0.16198093321045515,0.22458463133553835
40,2682,706,6.263982102908278,5.382436260623229,0.20914499438128253,0.3146839690482576,0.3674227813555922,0.34230953716851137
41,2727,661,5.720572057205721,7.564296520423601,0.347816328388241,0.3875745746872488,0.39313695115436764,0.41590825036140255
42,2789,599,6.023664395840803,6.3439065108514185,0.14252344892598162,0.2654454518431677,0.32540316837561784,0.27884866553651416
43,2793,595,6.015037593984962,6.386554621848739,0.17726980346315632,0.2696321637499362,0.295031663389601,0.3660056363900837
44,2710,678,5.756457564575646,7.374631268436578,0.18436357428921774,0.1936743208704839,0.20336445343286857,0.1964928842181245
45,2791,597,5.804371193120745,7.370184254606365,0.36762988420961185,0.32565593282099575,0.31179989327947893,0.27660944577490965
46,2753,635,6.24772974936433,5.354330708661418,0.1620604365226285,0.21239366347104152,0.2401758735308646,0.3101825369182753
47,2785,603,6.175942549371634,5.638474295190713,0.28941778996319534,0.20075223470945044,0.24421944233233384,0.32168816503340036
48,2778,610,6.011519078473722,6.393442622950819,0.3429824811715135,0.33169972147598253,0.3659286875467186,0.3040084882397093
49,2686,702,6.329113924050633,5.128205128205128,0.21451886960291586,0.2564090360949173,0.30407632791987527,0.2973891901141884
50,2780,608,5.827338129496403,7.236842105263158,0.19796559917021825,0.23366599811521524,0.27785456006325004,0.27640126541333443
