split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2719,669,8.606105185730048,5.680119581464873,0.3947140704602273,0.19428571428571428,0.4399470223229529,0.2857142857142857,0.41936625184253223,0.26506024096385544,-0.02465218138230496,-0.07077452667814116,-0.045232951862725634,-0.09142857142857141
2,2741,647,7.515505290040131,10.200927357032457,0.7261117253266065,0.4824120603015075,0.703479492195413,0.5751633986928104,0.4813026124585039,0.40298507462686567,0.24480911286810259,0.07942698567464185,0.022632233131193558,-0.0927513383913029
3,2689,699,8.218668650055783,7.296137339055794,0.304837832552678,0.3211009174311927,0.3071601245149711,0.28169014084507044,0.26305197658845614,0.2532467532467532,0.04178585596422185,0.06785416418443946,-0.0023222919622931104,0.03941077658612224
4,2786,602,7.932519741564968,8.471760797342192,0.3851222199019054,0.3448275862068966,0.3676483639974191,0.35555555555555557,0.17473469951820866,0.23783783783783785,0.21038752038369676,0.10698974836905872,0.017473855904486302,-0.010727969348658994
5,2727,661,8.14081408140814,7.564296520423601,0.4710460014144653,0.3712574850299401,0.5330927141294225,0.358974358974359,0.3641389269701951,0.2980769230769231,0.10690707444427017,0.07318056195301703,-0.06204671271495721,0.012283126055581128
6,2761,627,8.185440057950018,7.336523125996811,0.3728024281493525,0.3225806451612903,0.2739488530124499,0.27848101265822783,0.2607745550272596,0.25961538461538464,0.11202787312209289,0.06296526054590568,0.09885357513690257,0.04409963250306248
7,2702,686,7.438934122871947,10.349854227405247,0.4867081012631051,0.415929203539823,0.5020285172294452,0.45662100456621,0.24849755686209524,0.24875621890547264,0.23821054440100986,0.16717298463435035,-0.015320415966340095,-0.04069180102638703
8,2787,601,8.144958736993182,7.487520798668886,0.6610917540447316,0.35,0.670197533915748,0.3888888888888889,0.5282087859346686,0.365296803652968,0.13288296811006306,-0.015296803652968038,-0.00910577987101635,-0.03888888888888892
9,2739,649,8.287696239503468,6.933744221879815,0.39610494678197244,0.32978723404255317,0.4390042758505744,0.4419889502762431,0.19007138007509236,0.29464285714285715,0.20603356670688008,0.03514437689969602,-0.042899329068601944,-0.11220171623368991
10,2672,716,7.709580838323353,9.217877094972067,0.41941806330331954,0.35772357723577236,0.4456765514646125,0.35714285714285715,0.36101555047718215,0.2958579881656805,0.0584025128261374,0.061865589070091875,-0.026258488161292948,0.0005807200929152101
11,2700,688,7.9259259259259265,8.430232558139535,0.44927035104831226,0.42162162162162165,0.435950694170403,0.3769633507853403,0.41545780033159796,0.3275862068965517,0.033812550716714296,0.09403541472506993,0.013319656877909258,0.04465827083628132
12,2721,667,8.122013965453876,7.646176911544228,0.5470059252163144,0.328042328042328,0.5408495692719143,0.38190954773869346,0.3043831434028129,0.35772357723577236,0.2426227818135015,-0.029681249193444337,0.006156355944400116,-0.05386721969636543
13,2694,694,7.609502598366741,9.654178674351584,0.43887424072988757,0.35175879396984927,0.44973701196039995,0.3553299492385787,0.35291822059643635,0.2422360248447205,0.08595602013345122,0.10952276912512876,-0.01086277123051238,-0.00357115526872942
14,2688,700,8.18452380952381,7.428571428571429,0.5807282006653532,0.37681159420289856,0.6064727266550695,0.45454545454545453,0.3367463395984107,0.3191489361702128,0.24398186106694253,0.057662658032685776,-0.025744525989716216,-0.07773386034255597
15,2759,629,8.04639362087713,7.94912559618442,0.5844611650230919,0.45517241379310347,0.5434253830281347,0.43356643356643354,0.2132172168900019,0.23076923076923078,0.37124394813309,0.2244031830238727,0.041035781994957166,0.02160598022666993
