feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.18877663204991185,0.09075171757423961,0.1748352549297868,0.08308182729513254,0.46452481622355746,15,1
stoich_MedComplexSize,0.11411524857828785,0.03828891029089439,0.10079674450064657,0.07570549958084366,0.2251567713022368,15,2
protein_MedianUniqueRatio,0.11111716172970479,0.07664052159497786,0.12308867667192103,-0.02266434638938235,0.28346483507306763,15,3
stoich_MedianRatio,0.09562437464983878,0.07035259720258241,0.09184263336621055,-0.0026223123756664636,0.24697313441322857,15,4
protein_MedComplexNodes,0.04749646329696477,0.048271381309190266,0.04439683347642786,-0.00557601732915603,0.12745119238185162,15,5
base_UniquePartners,0.006874880899298677,0.02057166737454433,0.01010115642228,-0.027795254525108302,0.04583166448810598,15,6
protein_RangeUniqueRatio,0.005813132794726065,0.011592386517383915,0.004549635810301755,-0.018052391498106383,0.03233525477282699,15,7
protein_RangeComplexNodes,0.0011966127832212523,0.005571949997997229,4.594324588143017e-05,-0.008051485141145159,0.01665169581241858,15,8
stoich_RangeRatio,-0.0007844937012012648,0.006062882531659501,-0.00015712294428895656,-0.015467897711621265,0.006440093626607945,15,9
stoich_RangeComplexSize,-0.0030259382147654625,0.008310461043769408,-0.00034301226973141306,-0.031358244947281975,0.0022448159335765995,15,10
