split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hyper_recip_pr_auc,hyper_recip_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff,recip_pr_auc_diff,net_recip_pr_auc_diff
1,2763,625,5.971769815418024,6.5600000000000005,0.11668216355416626,0.17424242424242425,0.2554644002352061,0.24324324324324326,0.26899224192645205,0.21587301587301588,0.20942228820154019,0.21908127208480566,0.25177345088497166,0.2488479262672811,0.1350912873308054,0.07460550202485686,-0.0036909493502344515,0.005604683024037854,0.013527841691245934,-0.017218791041480386,-0.04604211203366593,0.042351162683431476
2,2766,622,6.36297903109183,4.823151125401929,0.10261085838201991,0.1978021978021978,0.1373651561880402,0.14860681114551083,0.14902139275965293,0.18983050847457628,0.13798204995970903,0.16793893129770993,0.1611588704025014,0.1926605504587156,0.05854801202048149,-0.005141647343482186,0.023793714214461192,0.044053739313204776,0.011656236571612716,0.012137477642848477,0.0006168937716688194,0.023176820442792373
3,2731,657,6.224826071036251,5.47945205479452,0.17555258180042002,0.18604651162790697,0.1574032329331648,0.1781609195402299,0.16111376188323545,0.18006430868167203,0.16900099024632143,0.20833333333333334,0.161914746929874,0.19642857142857142,-0.013637834870546012,0.01038205980066445,0.00451151399670921,0.018267651888341535,0.0037105289500706518,0.0008009850466385582,0.011597757313156626,-0.007086243316447416
4,2806,582,6.343549536707056,4.810996563573884,0.10433089213876091,0.1245674740484429,0.24615877959574695,0.16666666666666666,0.23876710969293916,0.1643835616438356,0.2513480351554252,0.22580645161290322,0.2351217307136151,0.22929936305732485,0.13079083857485418,0.10473188900888195,-0.011037048882131834,0.06263269639065819,-0.00739166990280779,-0.003645378979324043,0.005189255559678252,-0.016226304441810085
5,2660,728,6.12781954887218,5.906593406593406,0.09260593346777149,0.16988416988416988,0.1445085902976097,0.17679558011049723,0.15319762299572756,0.19390581717451524,0.1373650979852275,0.15767634854771784,0.16434703586664895,0.16494845360824742,0.07174110239887746,-0.004935716275922458,0.019838445569039242,-0.01184712650224981,0.008689032698117855,0.011149412870921388,-0.007143492312382205,0.026981937881421447
6,2780,608,6.294964028776978,5.098684210526316,0.087351523475924,0.1708542713567839,0.22478166657465784,0.19424460431654678,0.25068363120139936,0.216,0.25825677204310116,0.21761658031088082,0.3311925990915623,0.28205128205128205,0.24384107561563828,0.11119701069449814,0.10641093251690445,0.08780667773473527,0.02590196462674152,0.08050896789016293,0.03347510546844332,0.07293582704846113
7,2682,706,5.704697986577181,7.507082152974505,0.13357340809344914,0.20261437908496732,0.1640972687908002,0.1941747572815534,0.18146121507296242,0.2356020942408377,0.15701112889634145,0.21908127208480566,0.18053128647022648,0.1986754966887417,0.04695787837677734,-0.0039388823962256125,0.016434017679426288,0.0045007394071883144,0.01736394628216223,-0.000929928602735941,-0.007086139894458748,0.023520157573885037
8,2723,665,6.022769004774147,6.315789473684211,0.14738818863445174,0.17757009345794392,0.19531289306891553,0.2028985507246377,0.20470110656113163,0.2222222222222222,0.21200040363019051,0.23893805309734514,0.23489353369201815,0.2014388489208633,0.08750534505756641,0.02386875546291939,0.039580640623102625,-0.001459701803774388,0.009388213492216108,0.030192427130886518,0.016687510561274987,0.022893130061827638
9,2813,575,6.1500177746178455,5.739130434782608,0.12478765589307916,0.18478260869565216,0.2909497156024722,0.26865671641791045,0.30201662248146904,0.22568093385214008,0.25759453101655555,0.2559241706161137,0.3001343906573125,0.26744186046511625,0.17534673476423335,0.08265925176946409,0.00918467505484033,-0.0012148559527941916,0.011066906878996863,-0.0018822318241565328,-0.03335518458591663,0.04253985964075696
10,2750,638,5.818181818181818,7.210031347962382,0.1366562174427009,0.20462046204620463,0.27679890315494193,0.22110552763819097,0.294001039226726,0.2613981762917933,0.2635688291475258,0.25,0.33712528307522605,0.3022222222222222,0.20046906563252515,0.0976017601760176,0.06032637992028411,0.08111669458403126,0.017202136071784058,0.043124243848500055,-0.01323007400741616,0.07355645392770027
