split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hyper_recip_pr_auc,hyper_recip_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff,recip_pr_auc_diff,net_recip_pr_auc_diff
1,2656,650,24.021084337349397,20.76923076923077,0.3461070968963192,0.45323741007194246,0.400797956340347,0.4365079365079365,0.392148996575138,0.39826839826839827,0.4141681477486062,0.4652567975830816,0.37843191184310676,0.4186046511627907,0.03232481494678757,-0.03463275890915174,-0.022366044497240223,-0.017903285345145792,-0.008648959765208963,-0.01371708473203126,0.013370191408259235,-0.03573623590549946
2,2694,612,23.01410541945063,25.0,0.5265997205778636,0.5664739884393064,0.5191832789329737,0.49122807017543857,0.4853922984887223,0.4897959183673469,0.523805640710304,0.5389221556886228,0.509952356191724,0.5372168284789643,-0.016647364386139674,-0.02925715996034206,-0.009230922741249703,0.04598875830352578,-0.033790980444251384,0.02456005770300168,0.0046223617773303305,-0.013853284518580034
3,2614,692,23.182861514919665,24.13294797687861,0.6756212580670133,0.5907859078590786,0.6957320223940383,0.6384364820846905,0.7032236367259714,0.6132404181184669,0.699756627952927,0.5909090909090909,0.6825660149416364,0.6198083067092651,0.006944756874623037,0.029022398850186537,-0.013166007452401929,-0.018628175375425382,0.007491614331933127,-0.020657621784335056,0.0040246055588887275,-0.017190613011290656
4,2743,563,23.951877506379876,20.603907637655418,0.37396411006214825,0.4426229508196721,0.41900954442864463,0.4107142857142857,0.411339766508431,0.3465346534653465,0.42542386060823467,0.45098039215686275,0.34000855508827327,0.29,-0.03395555497387498,-0.15262295081967214,-0.07900098934037136,-0.12071428571428572,-0.007669777920213616,-0.07133121142015775,0.0064143161795900405,-0.0854153055199614
5,2548,758,24.175824175824175,20.71240105540897,0.44192064877190096,0.4327485380116959,0.45821769210667335,0.40816326530612246,0.4700454067372264,0.43508771929824563,0.46311389032872263,0.48877805486284287,0.4461188835695167,0.39862542955326463,0.004198234797615719,-0.03412310845843125,-0.012098808537156669,-0.009537835752857826,0.011827714630553043,-0.023926523167709712,0.004896198222049286,-0.016995006759205955
6,2640,666,24.28030303030303,19.81981981981982,0.37087698529500224,0.4107744107744108,0.436599263465837,0.41702127659574467,0.4473349604057841,0.4224137931034483,0.41876334962976935,0.4588235294117647,0.3781314890707717,0.4149377593360996,0.007254503775769472,0.004163348561688818,-0.058467774395065286,-0.0020835172596450624,0.010735696939947081,-0.06920347133501237,-0.01783591383606764,-0.040631860558997646
7,2680,626,22.910447761194032,25.399361022364218,0.5543447852351993,0.4783861671469741,0.5831234058585644,0.5016949152542373,0.5767990604108535,0.5156794425087108,0.5734274174559904,0.5015479876160991,0.5548404425630726,0.4934210526315789,0.0004956573278733778,0.015034885484604854,-0.028282963295491736,-0.008273862622658334,-0.006324345447710877,-0.02195861784778086,-0.009695988402574018,-0.018586974892917718
8,2667,639,24.296962879640045,19.561815336463223,0.3511757896037948,0.4067796610169492,0.4035015457986365,0.4,0.3846347108544006,0.37656903765690375,0.38549995006709037,0.375,0.35329182056680614,0.3739130434782609,0.0021160309630113283,-0.0328666175386883,-0.05020972523183037,-0.026086956521739146,-0.01886683494423591,-0.03134289028759446,-0.01800159573154614,-0.03220812950028423
9,2651,655,23.198792908336475,24.12213740458015,0.5142808447855904,0.46551724137931033,0.5372726154548904,0.4166666666666667,0.537319177925267,0.44534412955465585,0.5322677348788899,0.4820846905537459,0.49056733811381,0.45936395759717313,-0.02371350667178046,-0.006153283782137198,-0.046705277341080376,0.04269729093050645,4.6562470376598775e-05,-0.046751839811456974,-0.005004880576000459,-0.04170039676507992
10,2636,670,22.91350531107739,25.223880597014926,0.6073068595898148,0.5390428211586902,0.631717395434214,0.5342019543973942,0.632955180090811,0.5342019543973942,0.6295558760007051,0.5363128491620112,0.6097427182928506,0.5225806451612903,0.0024358587030358647,-0.016462175997399853,-0.021974677141363363,-0.011621309236103827,0.001237784656596963,-0.023212461797960326,-0.0021615194335089516,-0.019813157707854412
11,2668,638,22.67616191904048,26.332288401253916,0.5388637489530579,0.4876712328767123,0.5558658640265685,0.4529616724738676,0.5567378142648165,0.4338235294117647,0.5564678087260573,0.5340050377833753,0.538857818847495,0.474025974025974,-5.930105562934607e-06,-0.013645258850738307,-0.017008045179073505,0.021064301552106424,0.0008719502382480426,-0.017879995417321548,0.0006019446994888211,-0.017609989878562327
12,2668,638,22.863568215892055,25.54858934169279,0.532107916370717,0.5154185022026432,0.543550566276903,0.48743718592964824,0.5419076732388167,0.49122807017543857,0.5558823588962709,0.5093945720250522,0.5377405671711255,0.47959183673469385,0.005632650800408534,-0.035826665467949326,-0.005809999105777508,-0.007845349194954387,-0.0016428930380862905,-0.0041671060676912175,0.012331792619367898,-0.018141791725145406
13,2620,686,24.045801526717558,20.845481049562682,0.6120847139504499,0.49056603773584906,0.6370815325256421,0.5304659498207885,0.6385521206035198,0.5390070921985816,0.6266056206552574,0.536144578313253,0.6310447544508713,0.5249169435215947,0.018960040500421327,0.03435090578574562,-0.006036778074770877,-0.005549006299193859,0.0014705880778776992,-0.007507366152648576,-0.010475911870384769,0.004439133795613892
14,2649,657,23.933559833899583,21.15677321156773,0.47310016360550616,0.3968668407310705,0.4896126908027304,0.40233236151603496,0.45444725276394776,0.3814713896457766,0.49076552818094804,0.4,0.45486580627392326,0.37866666666666665,-0.018234357331582907,-0.01820017406440383,-0.03474688452880714,-0.023665694849368313,-0.03516543803878264,0.00041855350997549445,0.0011528373782176415,-0.035899721907024784
15,2694,612,24.016332590942834,20.588235294117645,0.5610888332382951,0.532871972318339,0.5822175297443077,0.5726495726495726,0.5862778329602046,0.5267857142857143,0.574120093964682,0.5230769230769231,0.5498432028954143,0.49777777777777776,-0.01124563034288073,-0.035094194540561285,-0.03237432684889341,-0.07487179487179485,0.004060303215896899,-0.03643463006479031,-0.008097435779625739,-0.02427689106926767
16,2639,667,24.10003789314134,20.539730134932537,0.2880735588177321,0.375,0.30952612725650497,0.3848396501457726,0.31281469155242747,0.378698224852071,0.3141948177655309,0.4223300970873786,0.2939491749386014,0.38372093023255816,0.005875616120869287,0.008720930232558155,-0.01557695231790357,-0.0011187199132144388,0.0032885642959225025,-0.018865516613826072,0.004668690509025908,-0.020245642826929477
17,2655,651,23.728813559322035,21.96620583717358,0.6042193050342621,0.5292620865139949,0.6306794682835271,0.52,0.6326460742409029,0.5185185185185185,0.6220787558790954,0.5380116959064327,0.6236447243302025,0.5438066465256798,0.019425419295940327,0.014544560011684915,-0.007034743953324596,0.023806646525679764,0.0019666059573758554,-0.009001349910700451,-0.00860071240443161,0.0015659684511070138
18,2638,668,23.843821076573164,21.55688622754491,0.4204532195564373,0.45430809399477806,0.44280900080907537,0.4620253164556962,0.4422216650499685,0.43137254901960786,0.44401244527570755,0.44931506849315067,0.4380566509321343,0.45427728613569324,0.017603431375697032,-3.080785908482486e-05,-0.004752349876941064,-0.007748030320002985,-0.0005873357591068551,-0.004165014117834209,0.0012034444666321753,-0.00595579434357324
