split_index,pairwise_C,hypergraph_C,hyper_flag_C,hyper_recip_C,hb_graph_C
1,0.001,0.01,0.01,0.0001,0.0001
2,0.01,0.01,0.01,0.0001,0.0001
3,0.01,0.001,0.001,1e-06,1e-06
4,0.01,0.001,0.001,0.0001,1e-06
5,0.01,0.01,0.001,0.0001,0.0001
6,0.01,1e-05,1e-05,1e-06,0.0001
7,0.01,0.01,0.001,0.0001,1e-05
8,1e-06,0.001,0.001,0.0001,1e-06
9,0.1,0.01,0.001,0.0001,1e-05
10,100.0,0.001,0.001,0.001,1e-05
11,0.001,0.001,0.001,1e-06,0.0001
12,0.001,0.001,0.001,0.001,0.0001
13,0.1,0.01,0.01,0.0001,1e-05
14,0.0001,0.001,0.001,0.1,0.0001
15,1.0,0.001,0.001,0.0001,0.0001
16,0.1,0.001,0.001,0.0001,1e-05
17,0.1,0.01,0.01,0.001,1e-06
18,0.001,0.1,0.001,0.001,0.0001
19,0.01,0.001,0.001,1e-06,1e-05
20,1e-06,0.01,0.01,0.001,0.0001
21,0.001,0.001,0.0001,0.0001,0.0001
22,1e-06,1e-05,0.001,0.0001,0.0001
23,0.001,0.001,0.001,0.0001,1e-06
24,0.001,0.001,0.001,0.0001,1e-06
25,0.001,0.01,0.001,0.0001,1e-05
26,1.0,0.01,0.01,1e-05,1e-05
27,0.001,0.001,0.001,0.0001,1e-05
28,0.1,0.001,0.001,0.001,1e-06
29,1.0,0.01,0.001,0.0001,0.001
30,0.01,0.01,0.01,0.0001,1e-05
31,0.01,0.001,0.001,1e-05,1e-06
32,0.1,0.001,0.001,0.0001,0.0001
33,0.001,1e-06,1e-06,1e-05,0.001
34,0.01,0.001,0.001,0.001,0.001
35,0.001,0.01,0.001,1e-05,0.0001
36,10.0,0.0001,0.001,1e-06,1e-06
37,0.01,0.001,0.001,1e-05,0.0001
38,0.001,0.01,0.01,0.001,1e-05
39,1.0,0.001,0.001,0.0001,1e-06
40,0.01,0.01,0.001,1e-06,0.0001
41,0.001,0.001,0.001,1e-05,1e-05
42,100.0,0.01,0.01,1e-05,0.0001
43,0.0001,1e-05,0.0001,1e-06,1e-05
44,0.001,0.0001,0.0001,1e-06,1e-06
45,0.001,1e-06,0.01,1e-05,0.0001
46,0.01,0.001,0.01,0.001,0.0001
47,0.01,0.0001,0.0001,0.001,1e-06
48,0.01,0.01,0.01,0.0001,1e-05
49,0.01,0.001,0.001,1e-06,1e-05
50,0.001,0.001,0.0001,0.0001,0.0001
