feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.05501295262489446,0.021853903177154573,0.0538323262171297,0.023862889793975238,0.10082536389938275,50,1
stoich_RangeRatio,0.035538123859884384,0.024927389624297067,0.03218720154526046,-0.0002475566967915704,0.11042384321475263,50,2
base_LocalClustCoeff,0.02417663305899262,0.017485187699932864,0.02199515256206909,-0.02502797662191128,0.06006744172934745,50,3
protein_RangeUniqueRatio,0.023558200279442755,0.016886975173045517,0.020855790635808738,-0.004372940890177801,0.07006040994523291,50,4
base_Degree,0.016919084851044038,0.00956246361355988,0.015156697462578785,-0.0009152927028655167,0.04097424896609514,50,5
protein_MedComplexNodes,0.013048755732739932,0.008695118148858871,0.012133928840905837,-0.005522556824115876,0.04392645448832398,50,6
base_UniquePartners,0.011313187484744884,0.008521827093529732,0.010202623115647236,-0.00686728875009224,0.03340119211522477,50,7
base_TriangleCount,0.005955705691202058,0.004866088766859438,0.004375116498062585,-0.0038596163319289554,0.021768403214245065,50,8
base_AvgNeighbourDegree,0.004120366490044964,0.00430711648800199,0.004050318088582684,-0.006333438478703946,0.015507380404591927,50,9
stoich_MedComplexSize,0.0024224134338655446,0.00266979586303158,0.0023879720874240827,-0.002789511400631206,0.01031318544606695,50,10
stoich_AvgNeighbourDegreeStoich,0.0023845820849568993,0.0029041147277473253,0.002404590562028519,-0.0069477615909305235,0.010404619936423257,50,11
stoich_WeightedTriangles,0.0022933640450599124,0.001836612292222231,0.0021434311055174545,-0.000765913341455865,0.009092523901720129,50,12
protein_RangeComplexNodes,0.0018430750716677564,0.0017955661506719354,0.0014950675468796719,-0.001032704616385477,0.008079025304119386,50,13
stoich_RangeComplexSize,0.0007534455599980155,0.0013311246899933172,0.0005112994550395863,-0.0014655501755749284,0.005412327226443439,50,14
