model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,pairwise,1,0.13472270380686624,2710,678,4,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,hypergraph,1,0.21248159300432645,2710,678,8,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,hb_graph,1,0.22200836304797844,2710,678,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,2,0.12796593987620244,2712,676,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,2,0.1989161046985794,2712,676,8,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,hb_graph,2,0.24800782238755767,2712,676,14,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,pairwise,3,0.1056095845047495,2712,676,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,3,0.16483839401360945,2712,676,8,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,hb_graph,3,0.2335733114046457,2712,676,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,4,0.10475170277534845,2713,675,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,4,0.19050908072980594,2713,675,8,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,hb_graph,4,0.20319256991457896,2713,675,14,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,pairwise,5,0.11054065752644929,2711,677,4,42,{'clf__C': np.float64(0.008111941985431923)}
LogisticRegression,Linear,hypergraph,5,0.12780906900162997,2711,677,8,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,hb_graph,5,0.16640603288888728,2711,677,14,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,pairwise,6,0.11601388322085752,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,6,0.13298834794371864,2710,678,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,6,0.21068538460868927,2710,678,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,7,0.10401615361299091,2711,677,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,7,0.15808798771521082,2711,677,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,7,0.15221803686505522,2711,677,14,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,pairwise,8,0.09862769493839281,2711,677,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,8,0.18074719274882226,2711,677,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,8,0.21608603862115494,2711,677,14,42,{'clf__C': np.float64(4.5705630998014515)}
