model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,pairwise,1,0.126515753,2750,638,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,1,0.228064294,2750,638,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,1,0.240158859,2750,638,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,2,0.10805838,2753,635,4,42,{'clf__C': np.float64(0.011526449540315618)}
LogisticRegression,Linear,hypergraph,2,0.251210731,2753,635,8,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hb_graph,2,0.301973101,2753,635,14,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,pairwise,3,0.151507768,2665,723,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,3,0.251782501,2665,723,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,3,0.321368004,2665,723,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,4,0.092833303,2657,731,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,4,0.145823691,2657,731,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,4,0.187343309,2657,731,14,42,{'clf__C': np.float64(1.0129197956845732)}
LogisticRegression,Linear,pairwise,5,0.097723015,2687,701,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,5,0.187560184,2687,701,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,5,0.280421658,2687,701,14,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,pairwise,6,0.121635689,2749,639,4,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hypergraph,6,0.175167042,2749,639,8,42,{'clf__C': np.float64(0.008260808399079604)}
LogisticRegression,Linear,hb_graph,6,0.23898094,2749,639,14,42,{'clf__C': np.float64(1.0129197956845732)}
LogisticRegression,Linear,pairwise,7,0.102943084,2722,666,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,7,0.139035711,2722,666,8,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,hb_graph,7,0.180667346,2722,666,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,8,0.111555131,2694,694,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,8,0.154347107,2694,694,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,8,0.134751194,2694,694,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,9,0.145479189,2784,604,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,9,0.278780009,2784,604,8,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,hb_graph,9,0.335221631,2784,604,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,10,0.138199831,2785,603,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,10,0.198779685,2785,603,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,10,0.26313308,2785,603,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,11,0.092534788,2769,619,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,11,0.231195624,2769,619,8,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hb_graph,11,0.379862258,2769,619,14,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,pairwise,12,0.161621872,2740,648,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,12,0.25547448,2740,648,8,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,hb_graph,12,0.328692361,2740,648,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,13,0.100555493,2636,752,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,13,0.172797282,2636,752,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,13,0.240535559,2636,752,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,14,0.102531282,2706,682,4,42,{'clf__C': np.float64(0.008111941985431923)}
LogisticRegression,Linear,hypergraph,14,0.166795064,2706,682,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,14,0.221393289,2706,682,14,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,pairwise,15,0.174777822,2684,704,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,15,0.282822201,2684,704,8,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hb_graph,15,0.384247928,2684,704,14,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,pairwise,16,0.133949765,2714,674,4,42,{'clf__C': np.float64(0.008260808399079604)}
LogisticRegression,Linear,hypergraph,16,0.153072112,2714,674,8,42,{'clf__C': np.float64(0.011526449540315618)}
LogisticRegression,Linear,hb_graph,16,0.185262171,2714,674,14,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,pairwise,17,0.110791988,2667,721,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,17,0.162800702,2667,721,8,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,hb_graph,17,0.282850336,2667,721,14,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,pairwise,18,0.086108517,2728,660,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,18,0.147112153,2728,660,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,18,0.184055144,2728,660,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,19,0.138046796,2763,625,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,19,0.133406577,2763,625,8,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,hb_graph,19,0.167875136,2763,625,14,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,pairwise,20,0.190937471,2737,651,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,20,0.194541868,2737,651,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,20,0.238946568,2737,651,14,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,pairwise,21,0.143918149,2738,650,4,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,hypergraph,21,0.275560145,2738,650,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,21,0.409838256,2738,650,14,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,pairwise,22,0.110003445,2684,704,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,22,0.200009691,2684,704,8,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,hb_graph,22,0.235595122,2684,704,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,23,0.09096771,2689,699,4,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,hypergraph,23,0.116432816,2689,699,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,23,0.159630537,2689,699,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,24,0.132920871,2679,709,4,42,{'clf__C': np.float64(0.028585493941961918)}
