model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
RBF-SVM,Kernel,pairwise,1,0.4266533025588238,2612,694,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,1,0.42844699369972333,2612,694,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,1,0.42462989833884046,2612,694,14,42,"{'clf__C': 1000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,2,0.3239688829881435,2680,626,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,2,0.40707076452830265,2680,626,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,2,0.4707889286876774,2680,626,14,42,"{'clf__C': 10000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,3,0.6898897178389843,2594,712,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,3,0.6846295146993082,2594,712,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,3,0.6644044574786709,2594,712,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,4,0.4605046692414784,2649,657,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,4,0.4762284798774042,2649,657,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,4,0.47993382109559857,2649,657,14,42,"{'clf__C': 1, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,5,0.6411858533548408,2633,673,4,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hypergraph,5,0.6453318633764908,2633,673,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,5,0.6716046650499712,2633,673,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,6,0.5632023355281462,2754,552,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,6,0.6270308338647349,2754,552,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,6,0.6261466317806723,2754,552,14,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,7,0.4788468140297784,2655,651,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,7,0.583686136105729,2655,651,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,7,0.4953189365120341,2655,651,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,8,0.49954443250889125,2644,662,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,8,0.4931800034344187,2644,662,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,8,0.5064467131158265,2644,662,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,9,0.6520205096133411,2681,625,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,9,0.6585535974432786,2681,625,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,9,0.6353675148553923,2681,625,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,10,0.6601601915622007,2713,593,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,10,0.7033346762049394,2713,593,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,10,0.7009458964112284,2713,593,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,11,0.4264228105819324,2699,607,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,11,0.44280101387666637,2699,607,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,11,0.4517875485961985,2699,607,14,42,"{'clf__C': 10000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,12,0.40104345692506876,2676,630,4,42,"{'clf__C': 10000, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,12,0.36723508123037213,2676,630,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,12,0.5059300092874532,2676,630,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,13,0.5789043330715816,2590,716,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,13,0.5956354130684544,2590,716,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,13,0.6043888746778282,2590,716,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,14,0.5423539080670151,2641,665,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,14,0.42045732060835916,2641,665,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,14,0.5387382823917987,2641,665,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,15,0.6710795672370937,2608,698,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,15,0.7019949544099188,2608,698,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,15,0.650488149211261,2608,698,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,16,0.32292222435704787,2647,659,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,16,0.3354108566810967,2647,659,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,16,0.37248588431819746,2647,659,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,17,0.5053597244480592,2612,694,4,42,"{'clf__C': 10000, 'clf__gamma': 0.01}"
