task,arm,model,tier,param,n,at_min,at_max,at_edge
ess,group,RBF-SVM,pairwise,C,50,0.22,0.04,0.22
ess,group,RBF-SVM,pairwise,gamma,50,0.06,0.0,0.06
ess,group,RBF-SVM,hypergraph,C,50,0.0,0.0,0.0
ess,group,RBF-SVM,hypergraph,gamma,50,0.82,0.0,0.82
ess,group,RBF-SVM,hb_graph,C,50,0.0,0.02,0.02
ess,group,RBF-SVM,hb_graph,gamma,50,0.94,0.0,0.94
ess,group,RandomForest,pairwise,n_estimators,50,0.34,0.24,0.34
ess,group,RandomForest,pairwise,max_depth,50,1.0,0.0,1.0
ess,group,RandomForest,pairwise,min_samples_split,50,0.24,0.6,0.6
ess,group,RandomForest,hypergraph,n_estimators,50,0.34,0.24,0.34
ess,group,RandomForest,hypergraph,max_depth,50,1.0,0.0,1.0
ess,group,RandomForest,hypergraph,min_samples_split,50,0.28,0.38,0.38
ess,group,RandomForest,hb_graph,n_estimators,50,0.4,0.36,0.4
ess,group,RandomForest,hb_graph,max_depth,50,1.0,0.0,1.0
ess,group,RandomForest,hb_graph,min_samples_split,50,0.16,0.64,0.64
ess,group,XGBoost,pairwise,n_estimators,50,0.3,0.3,0.3
ess,group,XGBoost,pairwise,learning_rate,50,0.96,0.0,0.96
ess,group,XGBoost,pairwise,max_depth,50,0.9,0.0,0.9
ess,group,XGBoost,pairwise,subsample,50,0.52,0.2,0.52
ess,group,XGBoost,hypergraph,n_estimators,50,0.44,0.32,0.44
ess,group,XGBoost,hypergraph,learning_rate,50,0.74,0.0,0.74
ess,group,XGBoost,hypergraph,max_depth,50,0.92,0.0,0.92
ess,group,XGBoost,hypergraph,subsample,50,0.54,0.22,0.54
ess,group,XGBoost,hb_graph,n_estimators,50,0.52,0.18,0.52
ess,group,XGBoost,hb_graph,learning_rate,50,0.88,0.0,0.88
ess,group,XGBoost,hb_graph,max_depth,50,0.96,0.0,0.96
ess,group,XGBoost,hb_graph,subsample,50,0.48,0.2,0.48
ess,group,LightGBM,pairwise,n_estimators,50,0.34,0.36,0.36
ess,group,LightGBM,pairwise,learning_rate,50,0.72,0.0,0.72
ess,group,LightGBM,pairwise,max_depth,50,0.92,0.04,0.92
ess,group,LightGBM,pairwise,num_leaves,50,0.98,0.0,0.98
ess,group,LightGBM,hypergraph,n_estimators,50,0.48,0.22,0.48
ess,group,LightGBM,hypergraph,learning_rate,50,0.7,0.0,0.7
ess,group,LightGBM,hypergraph,max_depth,50,0.9,0.08,0.9
ess,group,LightGBM,hypergraph,num_leaves,50,0.9,0.02,0.9
ess,group,LightGBM,hb_graph,n_estimators,50,0.34,0.26,0.34
ess,group,LightGBM,hb_graph,learning_rate,50,0.96,0.0,0.96
ess,group,LightGBM,hb_graph,max_depth,50,0.98,0.0,0.98
ess,group,LightGBM,hb_graph,num_leaves,50,1.0,0.0,1.0
ess,random,RBF-SVM,pairwise,C,50,0.24,0.0,0.24
ess,random,RBF-SVM,pairwise,gamma,50,0.06,0.0,0.06
ess,random,RBF-SVM,hypergraph,C,50,0.0,0.0,0.0
ess,random,RBF-SVM,hypergraph,gamma,50,0.98,0.0,0.98
ess,random,RBF-SVM,hb_graph,C,50,0.0,0.0,0.0
ess,random,RBF-SVM,hb_graph,gamma,50,0.98,0.0,0.98
ess,random,RandomForest,pairwise,n_estimators,50,0.38,0.28,0.38
ess,random,RandomForest,pairwise,max_depth,50,1.0,0.0,1.0
ess,random,RandomForest,pairwise,min_samples_split,50,0.34,0.4,0.4
ess,random,RandomForest,hypergraph,n_estimators,50,0.32,0.32,0.32
ess,random,RandomForest,hypergraph,max_depth,50,1.0,0.0,1.0
ess,random,RandomForest,hypergraph,min_samples_split,50,0.26,0.38,0.38
ess,random,RandomForest,hb_graph,n_estimators,50,0.6,0.3,0.6
ess,random,RandomForest,hb_graph,max_depth,50,1.0,0.0,1.0
ess,random,RandomForest,hb_graph,min_samples_split,50,0.1,0.64,0.64
ess,random,XGBoost,pairwise,n_estimators,50,0.22,0.52,0.52
ess,random,XGBoost,pairwise,learning_rate,50,0.96,0.0,0.96
ess,random,XGBoost,pairwise,max_depth,50,1.0,0.0,1.0
ess,random,XGBoost,pairwise,subsample,50,0.6,0.04,0.6
ess,random,XGBoost,hypergraph,n_estimators,50,0.46,0.24,0.46
ess,random,XGBoost,hypergraph,learning_rate,50,0.72,0.0,0.72
