task,model,contrast,delta_group,delta_random,delta_change,dz_group,dz_random,dz_change,split_counts_group,split_counts_random
Gene essentiality,LogisticRegression,Hypergraph - pairwise,+0.042,+0.061,+0.019,0.86,2.70,+1.84,42/8,50/0
Gene essentiality,LogisticRegression,HB-graph - hypergraph,+0.016,+0.030,+0.014,0.40,1.35,+0.95,39/11,46/4
Gene essentiality,LogisticRegression,HB-graph - pairwise,+0.059,+0.091,+0.033,1.24,3.19,+1.95,45/5,50/0
Gene essentiality,RBF-SVM,Hypergraph - pairwise,+0.027,-0.008,-0.036,0.62,-0.30,-0.92,38/12,20/30
Gene essentiality,RBF-SVM,HB-graph - hypergraph,+0.016,+0.074,+0.058,0.38,2.05,+1.67,42/8,48/2
Gene essentiality,RBF-SVM,HB-graph - pairwise,+0.043,+0.066,+0.022,0.87,2.06,+1.18,42/8,50/0
Gene essentiality,MLP,Hypergraph - pairwise,+0.046,+0.068,+0.022,0.86,1.62,+0.76,41/9,48/2
Gene essentiality,MLP,HB-graph - hypergraph,+0.015,+0.020,+0.005,0.42,0.58,+0.15,34/16,40/10
Gene essentiality,MLP,HB-graph - pairwise,+0.061,+0.088,+0.028,1.24,2.67,+1.44,44/6,50/0
Gene essentiality,RandomForest,Hypergraph - pairwise,+0.017,+0.019,+0.002,0.39,1.28,+0.89,40/10,44/6
Gene essentiality,RandomForest,HB-graph - hypergraph,+0.011,+0.015,+0.005,0.32,1.10,+0.79,34/16,45/5
Gene essentiality,RandomForest,HB-graph - pairwise,+0.027,+0.034,+0.007,0.52,1.95,+1.43,37/13,49/1
Gene essentiality,XGBoost,Hypergraph - pairwise,+0.020,+0.025,+0.006,0.35,0.97,+0.62,35/15,42/8
Gene essentiality,XGBoost,HB-graph - hypergraph,+0.017,+0.008,-0.009,0.47,0.35,-0.12,36/14,32/18
Gene essentiality,XGBoost,HB-graph - pairwise,+0.037,+0.033,-0.003,0.70,1.44,+0.74,38/12,47/3
Gene essentiality,LightGBM,Hypergraph - pairwise,+0.006,+0.013,+0.007,0.09,0.37,+0.28,27/23,33/17
Gene essentiality,LightGBM,HB-graph - hypergraph,+0.025,-0.002,-0.027,0.51,-0.05,-0.56,35/15,31/19
Gene essentiality,LightGBM,HB-graph - pairwise,+0.031,+0.011,-0.020,0.50,0.45,-0.05,39/11,33/17
Gene essentiality,TabPFN,Hypergraph - pairwise,+0.054,+0.033,-0.021,1.05,1.88,+0.83,42/8,47/3
Gene essentiality,TabPFN,HB-graph - hypergraph,+0.006,+0.021,+0.015,0.34,2.17,+1.83,33/17,49/1
Gene essentiality,TabPFN,HB-graph - pairwise,+0.060,+0.054,-0.006,1.09,2.73,+1.64,46/4,50/0
Drug target (HPA),LogisticRegression,Hypergraph - pairwise,+0.054,+0.064,+0.010,1.52,2.57,+1.05,46/4,50/0
Drug target (HPA),LogisticRegression,HB-graph - hypergraph,+0.014,+0.019,+0.005,0.55,1.32,+0.77,37/13,47/3
Drug target (HPA),LogisticRegression,HB-graph - pairwise,+0.068,+0.084,+0.016,1.75,2.70,+0.95,48/2,50/0
