feature,mean,std,median,n,is_noise
stoich_MedianRatio,0.047072411430592875,0.0264033760615463,0.04859284995098758,45,False
base_Degree,0.02894079366702985,0.02101802894146323,0.02878549035946832,45,False
stoich_MedComplexSize,0.023287529809806237,0.019693733431355727,0.02525580549420279,45,False
stoich_RangeComplexSize,0.019526373492496234,0.021167964533759156,0.020224631918622317,45,False
protein_MedianUniqueRatio,0.016644237420177052,0.019709733904773184,0.017434179642384213,45,False
stoich_RangeRatio,0.0134397997125415,0.015552935291341257,0.012850130145489174,45,False
protein_MedComplexNodes,0.01319203320788713,0.016288787409128792,0.012382035639477814,45,False
stoich_AvgNeighbourDegreeStoich,0.01180618978673596,0.01709750748324543,0.00766743999227259,45,False
protein_RangeUniqueRatio,0.011160217991551362,0.017862955765734167,0.010489465915238227,45,False
base_UniquePartners,0.007713828694377498,0.01565320515344149,0.007548169830711285,45,False
base_AvgNeighbourDegree,0.005681411184733853,0.01432416492024899,0.004454974826534716,45,False
base_TriangleCount,0.004915518880442096,0.011425269541435303,0.006812028195987649,45,False
stoich_WeightedTriangles,0.004442079793737906,0.014892652330613624,0.004575306826811842,45,False
base_LocalClustCoeff,0.004299812519723932,0.007264705455112826,0.0031876713336592617,45,False
protein_RangeComplexNodes,0.001763083562525091,0.008187225171967872,0.002818289658272466,45,False
[noise × 4],-0.003423558781511708,0.01711678742166629,-0.0011774086977025325,180,True
rand_0,-0.0058547143633743744,0.021045247482291578,-0.0005981153079496149,45,True
rand_1,0.0015403818947945852,0.016222302292882452,0.001070230698153335,45,True
rand_2,-0.007555935724527031,0.014726199655629836,-0.0069312344651115245,45,True
rand_3,-0.0018239669329400126,0.014100521238653907,-0.0019150248228370248,45,True
