feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.0782233482240814,0.045041007000080714,0.07606166089282554,0.0021565773496939806,0.24537574273380955,50,1
base_Degree,0.05598860466560138,0.03176771278686504,0.05593304526801296,0.004681959583936563,0.1555025989080652,50,2
protein_MedComplexNodes,0.05036661205792292,0.037355894609573975,0.04800716225164042,-0.017872247707848073,0.16946762340411295,50,3
stoich_MedComplexSize,0.04838596826393124,0.029931559738204647,0.04805821892579237,-0.006698140601027451,0.14806715642594917,50,4
stoich_RangeComplexSize,0.03152883989736444,0.02928963342871471,0.03008277039768841,-0.0323414393327416,0.09763880299117508,50,5
base_UniquePartners,0.02238640553492655,0.024207716024914155,0.020156596050244807,-0.0182036941723182,0.09623413936106212,50,6
stoich_RangeRatio,0.019588257559626916,0.02958197523623319,0.0182311417856823,-0.03541583801213851,0.12919179756388174,50,7
protein_RangeUniqueRatio,0.01939559560930535,0.024242695729452004,0.017468033887638346,-0.041615755400122675,0.07301356174764437,50,8
stoich_AvgNeighbourDegreeStoich,0.018621742275462427,0.020800570475480836,0.019515147229226624,-0.03496663504463863,0.061104354153287944,50,9
base_AvgNeighbourDegree,0.017811520025225056,0.018877033635411853,0.017437188594573605,-0.028310193084821383,0.06649300134216826,50,10
base_TriangleCount,0.016528501553450346,0.01878996321448691,0.014239781851454462,-0.01356392880208635,0.08450739968571666,50,11
stoich_WeightedTriangles,0.013143419773754321,0.014822583652205736,0.011607560702463037,-0.015862532673918166,0.06683266842583438,50,12
base_LocalClustCoeff,0.008837626340107495,0.008597878540901254,0.007980136899655684,-0.017677192390347464,0.029999956449674726,50,13
protein_RangeComplexNodes,0.002290407453452997,0.012348343021836425,0.0002581537761657371,-0.021457575131343592,0.04166767875337222,50,14
