feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.05865902833632282,0.020331326776470704,0.061448127119434925,0.010527971748098197,0.09770826964177241,50,1
base_UniquePartners,0.043300089741862946,0.020092623555477248,0.04038783544260145,-0.0005292348306735861,0.09628972862872735,50,2
base_AvgNeighbourDegree,0.03903981085577538,0.008234823561943857,0.03879725278635386,0.022930630961342645,0.06070925117010506,50,3
stoich_WeightedTriangles,0.030886957789547545,0.02133098882137032,0.030943391648772845,-0.0026685710568179143,0.0697680890689912,50,4
protein_MedComplexNodes,0.03039651575797458,0.011999821226775146,0.030119904357227376,0.004233223452332124,0.06338811592847225,50,5
stoich_AvgNeighbourDegreeStoich,0.01443377682278052,0.00594987261024763,0.014779847793584017,0.0006233841627169223,0.0292750180152749,50,6
protein_RangeComplexNodes,0.009699484900816008,0.0074661893561138665,0.009682231932390779,-0.011218767061113254,0.023624965602241133,50,7
stoich_MedianRatio,0.008556959729589033,0.006435034411870793,0.008880710146613673,-0.0037464426367403215,0.023123790548495626,50,8
protein_RangeUniqueRatio,0.007622922478600803,0.005803283819459253,0.007414415449713108,-0.0071799696717766755,0.023822453656282126,50,9
base_LocalClustCoeff,0.005723200257149838,0.004377325933045276,0.005732632349516698,-0.010681752712525394,0.01282934752563658,50,10
stoich_MedComplexSize,0.0038535279484112474,0.006845648289291946,0.004954826554375107,-0.010076463309710671,0.017492510015982,50,11
stoich_RangeComplexSize,0.003210764281234008,0.005321298369867431,0.0024630720866651414,-0.012166220178268471,0.014759983658005172,50,12
base_Degree,0.002731443305585408,0.0036332686054875805,0.002744470158904772,-0.005700984156684741,0.013710545129846952,50,13
stoich_RangeRatio,0.0010504036129053574,0.0040878989137980125,0.0007983702546037807,-0.012794121517526813,0.011015833216291649,50,14
