feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.11215464604260039,0.06679762000674375,0.11487206327142205,0.030158663813336796,0.28240324518371884,15,1
protein_MedComplexNodes,0.07760402772002183,0.046442459076086545,0.07076251892418993,0.0017534419205059632,0.2151950779477013,15,2
stoich_MedComplexSize,0.07513763351683307,0.03146742627370666,0.0693179126147489,0.02296660493932852,0.15459352723084002,15,3
protein_MedianUniqueRatio,0.07429619922211851,0.05055872104189438,0.06236085734723869,0.006721717683975314,0.22782638007439723,15,4
stoich_MedianRatio,0.07411434796350938,0.03867136516548444,0.07155018431184382,0.01939796059475481,0.18202257825647644,15,5
stoich_AvgNeighbourDegreeStoich,0.05074208118059982,0.03990584800634156,0.04342264502318289,0.011380138703158293,0.16203586021050853,15,6
stoich_WeightedTriangles,0.03639920151398561,0.03224502658428914,0.03719504222601587,-0.006879622879505548,0.10168657783818577,15,7
base_AvgNeighbourDegree,0.034567622418068406,0.03139908626910913,0.022431508304992916,-0.0054499015484829,0.10556987028989143,15,8
base_LocalClustCoeff,0.024919080041628756,0.019626136208963335,0.019988261475350922,0.003084659579347021,0.06345295211826622,15,9
base_TriangleCount,0.021123175721735908,0.019043364484999065,0.020157966865852577,-0.0006653746700878039,0.07355907760112973,15,10
base_UniquePartners,0.00757823363278079,0.01682416805654298,0.0064175552068962746,-0.019691072561365663,0.04372000459508178,15,11
protein_RangeComplexNodes,-0.0006257232414024791,0.00639519889896559,-0.00034560072570539167,-0.011084954951675885,0.010529005424965838,15,12
protein_RangeUniqueRatio,-0.0008657137397945484,0.013378746798222823,-0.0009083183204175949,-0.024833789472430385,0.02902452414635372,15,13
stoich_RangeComplexSize,-0.0022940462309778546,0.007006924816482757,2.917093194788056e-05,-0.018184477288212243,0.0053900639884493,15,14
stoich_RangeRatio,-0.0041317453865205135,0.008178355088596843,-0.004769024455835907,-0.02549413494253369,0.010738542367703458,15,15
