feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.12547100212174692,0.06454751130320516,0.11811833796924139,0.019885476107106854,0.2905455874478494,15,1
flag_HasStoich,0.07932735054116134,0.03650622376426171,0.08280653823280514,0.024119364464444897,0.17258384722679682,15,2
protein_MedComplexNodes,0.07865829303726936,0.04478188666545964,0.06901488580178747,0.0013521358734251588,0.20240167156154798,15,3
protein_MedianUniqueRatio,0.07609305432104659,0.0393002245511725,0.0759287817611251,0.007806519714078533,0.1884790734118646,15,4
base_AvgNeighbourDegree,0.07303049942406951,0.04960071374103007,0.07561378301640853,-0.004362345652376873,0.1670330233422745,15,5
base_TriangleCount,0.03989868195489112,0.026745757369310355,0.03320516813588537,-0.011674494653623056,0.08132400356598465,15,6
base_LocalClustCoeff,0.023550566112697006,0.025061172697051545,0.011055159093630834,-0.0067026064416974675,0.09020554968056498,15,7
base_UniquePartners,0.002137712291155582,0.015978550726219256,-0.0004656243115963521,-0.01730137854421578,0.04876602547839092,15,8
protein_RangeComplexNodes,-0.004674984322790987,0.009588282036970338,-0.005388936681790413,-0.030104742543810202,0.009299266672835187,15,9
protein_RangeUniqueRatio,-0.009103137485965388,0.01335167968197838,-0.00981453578596907,-0.03327168039898558,0.013004195780795707,15,10
