feature,mean,std,median,min,max,n_splits,rank
base_UniquePartners,0.07722682956778454,0.04965319107016557,0.07818427754746712,0.005770084564246891,0.15138733231286913,15,1
protein_MedianUniqueRatio,0.05200568292129928,0.01768647488468284,0.05070920024805279,0.026729297785840378,0.09245607351448804,15,2
protein_MedComplexNodes,0.0402598926303736,0.023308200054052,0.030000776713879795,-0.0018438937469227312,0.0785927201809733,15,3
protein_RangeUniqueRatio,0.02227327034174934,0.018234270415320747,0.017284029195998883,-0.013623301743593209,0.05181427751817451,15,4
stoich_MedComplexSize,0.020093274854937296,0.016484524834617487,0.020429350611764197,-0.0065882542429065325,0.05982912886664218,15,5
stoich_MedianRatio,0.01917724751346173,0.014914215673977693,0.019587696340100158,-0.019422820633405048,0.04677008695147546,15,6
protein_RangeComplexNodes,0.018741202389619682,0.013396903424001122,0.020564439330947155,-0.002236916627934532,0.043013799855923164,15,7
base_Degree,0.009172962575457164,0.011880563758715322,0.010793558651509138,-0.014363176061570337,0.022343615723561173,15,8
stoich_RangeComplexSize,0.0036619639166425707,0.005658272086885331,0.003095135773170743,-0.0029888858449876434,0.01677147264960448,15,9
stoich_RangeRatio,0.001957565209989348,0.005527636971893908,0.0017788156519305764,-0.00821851080024027,0.011159349258659046,15,10
