split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2719,669,8.606105185730048,5.680119581464873,0.44103640615499834,0.25316455696202533,0.38821569419719515,0.2639593908629442,0.3432024882142778,0.22142857142857142,0.09783391794072055,0.031735985533453914,0.05282071195780319,-0.010794833900918843
2,2741,647,7.515505290040131,10.200927357032457,0.6318347878227282,0.5067873303167421,0.6574886419843508,0.5,0.402480552411316,0.41379310344827586,0.2293542354114122,0.0929942268684662,-0.02565385416162258,0.006787330316742057
3,2689,699,8.218668650055783,7.296137339055794,0.25584724549145327,0.29493087557603687,0.2556040641076955,0.2755905511811024,0.25305074113137666,0.2815884476534296,0.0027965043600766126,0.013342427922607258,0.00024318138375778453,0.019340324394934494
4,2786,602,7.932519741564968,8.471760797342192,0.4233606004904473,0.33175355450236965,0.40553813546617096,0.37433155080213903,0.1674673133943801,0.2807017543859649,0.25589328709606723,0.051051800116404755,0.017822465024276368,-0.04257799629976938
5,2727,661,8.14081408140814,7.564296520423601,0.5300059314266214,0.36548223350253806,0.4683583480614123,0.39285714285714285,0.2947410252801779,0.28865979381443296,0.23526490614644352,0.07682243968810509,0.061647583365209146,-0.027374909354604793
6,2761,627,8.185440057950018,7.336523125996811,0.2624929657025396,0.2807017543859649,0.2390450676217507,0.27380952380952384,0.19500295493202757,0.25688073394495414,0.06749001077051203,0.023821020441010754,0.023447898080788898,0.006892230576441061
7,2702,686,7.438934122871947,10.349854227405247,0.49022453615166517,0.4132841328413284,0.44930713914108783,0.4083044982698962,0.20268831751155267,0.2613065326633166,0.2875362186401125,0.15197760017801182,0.04091739701057734,0.004979634571432245
8,2787,601,8.144958736993182,7.487520798668886,0.6890156500714621,0.36619718309859156,0.6692160185546466,0.40437158469945356,0.5468110749538709,0.31275720164609055,0.14220457511759121,0.053439981452501006,0.01979963151681552,-0.038174401600861996
9,2739,649,8.287696239503468,6.933744221879815,0.43014949203885083,0.3523809523809524,0.41619653008780355,0.3644859813084112,0.22005809944001928,0.2920353982300885,0.21009139259883156,0.0603455541508639,0.013952961951047282,-0.012105028927458794
10,2672,716,7.709580838323353,9.217877094972067,0.4493900807457198,0.36900369003690037,0.4269825628185025,0.3445692883895131,0.36185443450337074,0.3279742765273312,0.08753564624234905,0.04102941350956918,0.02240751792721729,0.02443440164738725
11,2700,688,7.9259259259259265,8.430232558139535,0.436173050044114,0.36097560975609755,0.3875074832467618,0.33980582524271846,0.3298169253371654,0.26627218934911245,0.10635612470694861,0.0947034204069851,0.04866556679735218,0.021169784513379086
12,2721,667,8.122013965453876,7.646176911544228,0.47612062219721596,0.3867403314917127,0.4456182025889112,0.3575418994413408,0.33853038523104495,0.31141868512110726,0.137590236966171,0.07532164637060546,0.030502419608304743,0.029198432050371925
13,2694,694,7.609502598366741,9.654178674351584,0.4333931733672588,0.33707865168539325,0.43790078444478747,0.3055555555555556,0.24845975902179632,0.2824858757062147,0.18493341434546248,0.054592775979178554,-0.004507611077528673,0.03152309612983767
14,2688,700,8.18452380952381,7.428571428571429,0.4581222096890016,0.3645320197044335,0.4403339088468652,0.36893203883495146,0.28366894512660445,0.27564102564102566,0.17445326456239713,0.08889099406340784,0.017788300842136395,-0.0044000191305179626
15,2759,629,8.04639362087713,7.94912559618442,0.47390499734291824,0.418848167539267,0.4732231696508711,0.3813953488372093,0.29110383580836496,0.3070539419087137,0.18280116153455328,0.1117942256305533,0.0006818276920471655,0.03745281870205769
