rank,type,feature,mean,std
1,real,base_Degree,0.094454669867598,0.0648817028510191
2,real,protein_MedComplexNodes,0.0665680308103806,0.0428301203426738
3,real,stoich_MedianRatio,0.0662282361710747,0.0435941196911399
4,real,protein_MedianUniqueRatio,0.0655841139082907,0.050096598898839
5,real,stoich_MedComplexSize,0.0576902279534376,0.0323936765340627
6,real,stoich_AvgNeighbourDegreeStoich,0.049153961490741,0.0393451234915724
7,real,stoich_WeightedTriangles,0.0352867162086552,0.0370115351416542
8,real,base_LocalClustCoeff,0.02597772695542,0.0169010504899112
9,real,base_AvgNeighbourDegree,0.0253267767509992,0.0229502462561442
10,real,base_TriangleCount,0.02048322267112,0.0214210455354017
11,real,base_UniquePartners,0.0054506455260819,0.0185358873734768
12,NOISE,rand_3,0.0014146892853507,0.0092711779175723
13,NOISE,rand_0,-0.0002347547816267,0.0114025876089877
14,NOISE,rand_1,-0.0007404870239847,0.0077185304393799
15,real,stoich_RangeComplexSize,-0.0015839842248856,0.0058029682054225
16,NOISE,rand_2,-0.0021931831948163,0.0094591292407257
17,real,protein_RangeComplexNodes,-0.0027853404534941,0.0066052641648894
18,real,protein_RangeUniqueRatio,-0.0029494734665114,0.0103502540830719
19,real,stoich_RangeRatio,-0.0030464041506381,0.0074130334812943
