split_index,seed_index,noise_seed,n_train,n_test,rand_pr_auc,pair_pr_auc,hyper_pr_auc,rand__rand_0,rand__rand_1,rand__rand_2,rand__rand_3,pair__pair_Degree,pair__pair_LocalClustCoeff,pair__pair_TriangleCount,pair__pair_AvgNeighborDegree,pair__rand_0,pair__rand_1,pair__rand_2,pair__rand_3,hyper__base_Degree,hyper__base_LocalClustCoeff,hyper__base_TriangleCount,hyper__base_UniquePartners,hyper__base_AvgNeighbourDegree,hyper__stoich_WeightedTriangles,hyper__stoich_AvgNeighbourDegreeStoich,hyper__stoich_RangeComplexSize,hyper__stoich_MedComplexSize,hyper__stoich_MedianRatio,hyper__stoich_RangeRatio,hyper__protein_MedianUniqueRatio,hyper__protein_RangeUniqueRatio,hyper__protein_MedComplexNodes,hyper__protein_RangeComplexNodes,hyper__rand_0,hyper__rand_1,hyper__rand_2,hyper__rand_3
1,0,1042,2719,669,0.056911022019211985,0.19074833245413586,0.4563581037744645,-0.0062491978820114515,-0.0015861342608097968,0.003909665191771758,0.0008700996050061326,0.026377643990890598,0.10543509809115514,0.009898257107720404,0.011885132143675103,-0.040681654591007435,-0.01355001423376909,0.003889285915905469,-0.009318821734278143,0.2102480262718726,0.03411042676886715,0.021334232795406693,0.003289706800286718,0.041656538708796355,0.04677298025651279,0.09667385384389995,0.0020956394626016504,0.11672098742405153,0.13083447203874402,0.0004676539713777128,0.14296606798865336,0.0005459644351789694,0.09905641555995845,-0.0076299958003345604,-0.006953700563956305,0.003948502154361877,0.004697534364948597,0.0017845556825917374
2,0,2042,2741,647,0.09234785492905548,0.29229374388456436,0.5490437422280722,-0.014562555212172024,-0.0276019236557829,-0.0007025149184556919,-0.005664860054597922,0.07461682303085433,0.1319101926933672,0.016098674371930057,0.03325905548306586,0.010561627020571096,-0.017730003657066347,-0.026272355475751807,0.013141491189970761,0.12183876439919417,0.009592965592944003,0.011188837055531298,0.007889042254147693,0.0389003103106258,0.06262555363844721,0.055490194076044906,0.005479031297915937,0.047045375948870996,0.06714034074801405,-0.006834694094410532,0.07049008896062905,-0.0025569785890094065,0.0895140732233021,-0.010869182573372271,0.0008434465806627545,0.000374272034351919,-0.010012753832922928,0.010256947951454298
3,0,3042,2689,699,0.08144318772857542,0.208803125309557,0.275146098675554,0.0009762478188003548,0.0004905399668147029,-0.0028221238906686237,-0.004648578737963827,0.01958702204791546,0.10510712330699361,0.042902127605066155,0.02108814311137075,0.030091704528943868,-0.011340077190353381,-0.004716890422237799,-0.0003303988475156505,0.0557903264999068,0.01625311668778595,-0.0013655783350004585,-0.0049088825284830055,0.023486080265239313,-0.0012414215981763899,0.03309153046047493,-0.000284388523262602,0.0460966776210513,0.038782703921201804,0.0007374902904715763,0.04122986544068722,0.015335135399331928,0.06265751159574681,0.01446170222574208,0.00326902408157293,-0.0027007649848623805,0.005694716081606444,-0.0011419518406572404
4,0,4042,2786,602,0.07875285761787884,0.13866464139614654,0.32886709916306184,0.0017042464544390068,0.0029732722860469516,-0.006990706800115175,0.002198184010580127,0.01082317365772024,0.03169443150978797,0.004446982842126371,0.0013321370038074111,5.840535837778049e-05,-0.0035088628331374854,-0.02120453315702144,-0.006800156839029531,0.05250048529141149,0.0032862701831440576,0.009462344052172455,-0.0036647047425077406,-0.00038759403193656115,0.003112223318340984,0.008203516396383004,-0.003531701328831999,0.033282946697463824,0.06452672052547467,-0.004715490685411572,0.05491638267009571,0.003867608327485744,0.058854140352107696,-0.0029447984603364064,-0.01133985608563009,-0.0012990712024061935,-0.014199124263383895,-0.0013776541868831926
5,0,5042,2727,661,0.0847067493165514,0.2434325635086262,0.45586036679100234,-0.012669208876521718,0.003484510248978924,-0.00014624922939996537,-0.0014764814185210847,0.03384777963972873,0.10103666204489943,0.02751131674727287,0.04851063620731487,-0.0030760966979414108,-0.01326456856816271,-0.010335367928486324,-0.0010195715545387118,0.10964695491178737,0.005091877103130954,0.026551717205151332,0.013268714301022588,0.01842140619035106,0.018828458591986737,0.015408799426573411,-0.001974430526109494,0.06972018724132972,0.09571625687118467,-0.0015556810094205565,0.0929930265402995,-0.014439569095107362,0.1097078477830558,-0.011635202099364472,0.04111930669598147,-0.004683264210027205,-0.01087870101899483,0.0013185798266769188
6,0,6042,2761,627,0.07663691341989343,0.1712246097676639,0.2516192996577209,0.0076263536574438335,0.0027766129062310268,0.001080193627607666,-0.012132846821043694,0.012322362849107638,0.058958886832632694,0.021647539572898434,0.03238808239221459,0.004423575844360128,0.004822670964804365,-0.01457172523066579,-0.022105222709042506,0.022434139261383854,0.014528657352969498,0.016854023461238946,-0.0020491300166183197,0.010830328967188968,0.03178810433592978,0.04946977477277077,-0.004805334249315246,0.03338654658771112,0.026552986175784988,-0.00875370632972946,0.014504464890188234,-0.0027439636599594862,0.010601737037576772,-0.003933361308653816,0.014042842384731006,-0.0008918792012205274,-0.00015645764058229704,-0.01530179995440934
7,0,7042,2702,686,0.1084768132522477,0.2094767700711514,0.3306645552702647,0.002402462411842886,0.009035636304409506,-0.010408589367696178,0.0017388281164459145,0.01222175806224311,0.06524661051782825,0.030265490499055213,0.033486174479885764,-0.01767269122458926,-0.010738754065161473,-0.02553415551783177,-0.02174570858724041,0.05699255242865683,0.02635055639529505,-0.007908727784967724,-0.016828518444467595,0.0329415837626562,0.024853109333148132,0.038370062918206556,-0.009309428088878057,0.017582557527880304,-0.004038942309820654,-0.020484149921107385,-0.01120484797437879,-0.012720382671487795,0.0077018196824709005,-0.003751180752379307,-0.018345946356308644,-0.022203675952379636,-0.03870485042695682,-0.010573302125929263
8,0,8042,2787,601,0.061256143710734234,0.2425370707817678,0.6300525127184151,-0.016235385220718327,-0.003819955211694959,-0.007799544723980546,-0.009821436996605154,0.03317976976577523,0.12983287616652042,0.036459690115213016,0.0243148328220477,-0.008609183738865975,-0.014222524560790817,-0.006762135652307977,-0.01028651099420062,0.27826981788977945,0.0294513651977095,0.05708911246875238,0.04779425586852255,0.08957050376646596,0.1278990865795104,0.17059048416841732,-0.0031479023778479553,0.14689107926140704,0.17453514334391218,0.0019677470800490092,0.20488139717171042,-0.02723351446467399,0.17949651584137133,-0.010034659002264768,-0.0014628175990337611,0.0012466378867738936,-0.0035828126823861826,0.0009020689840144924
9,0,9042,2739,649,0.0831620269329125,0.1920367290976712,0.3180281748488021,0.003514680785200848,-0.002504397170226652,-0.00314761729325552,0.015907894976456356,0.008394453755605264,0.05735613289812321,0.02200907674818249,0.012404939542388633,0.0010546338593340504,0.006195464245306592,0.0022434873748100105,0.003922162334200896,0.014049574011866467,-0.002286898268557952,0.009388915846410056,-0.011817427297550314,-0.007390500362192354,-0.001165441159064684,0.005314157087003923,-0.010186581521670162,0.04728408625769892,0.027960427041573706,-0.009191158794215549,0.03228335318620695,-0.00630831294102831,0.04456154731013231,-0.010718774133507847,-0.004175712603096177,-0.016117238348562813,0.007903536144855939,0.027898580519154302
10,0,10042,2672,716,0.07223241719084436,0.18488351062652386,0.41127306800823643,-0.015461066843898377,-0.0014172194928814455,-0.007935186234848183,-0.00190868784797541,0.010516608495228199,0.06511025457328978,0.005544811747282058,-0.0019068471254081176,-0.015511435745584176,-0.0006084225382469582,-0.0037471179279036176,-0.017681655969447437,0.12562706590092093,0.04208212030942433,0.021224387080954848,0.011888109722438972,0.02287409287673085,0.05110874420451535,0.05168919552412634,0.002314442707956843,0.061851963229691685,0.07416057948654517,0.0034653068642392427,0.06629287758928504,0.015662164425123647,0.09306130293405471,0.01519037928170668,-0.007411374224985145,0.00215562107926785,0.0026307817500759723,0.011535480260399711
11,0,11042,2700,688,0.09380055261976133,0.2007995287605015,0.3364456565713527,0.001764356011708347,-0.0003471236777542838,-0.009106767070984942,3.261204225736003e-05,0.03501778701117857,0.08399335308335634,0.019710850403553346,0.02305625495802376,-0.016013075741348862,-0.004763499825116496,-0.007218519746736918,-0.01825759086860949,0.09358992646820968,0.015892848001572167,0.0406341032015351,0.0031428479637224394,0.016727569376499753,0.02759140139175644,0.05360965324660456,0.00676469423673332,0.03965168327023855,0.0867394404066711,-0.002677957113325502,0.0732762874488335,-0.0052944067879796665,0.050193169891284285,-0.004992168047991336,-0.008149878279606143,0.005369062088904303,0.0015418914157039388,-0.007042452559437212
12,0,12042,2721,667,0.08375426902604349,0.3009190515364004,0.46660349132712,0.0028663578460019143,0.005175540555889061,0.006571124820698962,-0.0038347212836522247,0.024396976572365024,0.16012645164138883,0.05675342997933579,0.02659625998056861,0.009894717968924577,-0.009250371560839871,0.0037177471136553507,-0.005738519512109091,0.11893124110434683,0.05394821582287197,0.01612205568425823,0.010467933806101216,0.03134921702788658,0.061026425699642714,0.10866473060146058,0.00318993068548708,0.07644805753217954,0.0980870979947285,0.00023797221012888392,0.08040891315796819,-0.002182462713821992,0.06983926105193972,-0.0025693249863052827,-0.0038084702557256212,-0.00018513857050017624,0.0032606916023023734,0.002491429188401151
