feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.11569602847338172,0.07003574179997728,0.12604420043148407,0.0220767688718506,0.3015378065064225,15,1
stoich_MedComplexSize,0.08961207327069258,0.03645165861014123,0.09117961648416492,0.02756362483934202,0.15775542654805524,15,2
stoich_MedianRatio,0.08830428151245842,0.04670981702490275,0.07778685478460007,0.015274981179905233,0.22177199014572585,15,3
protein_MedianUniqueRatio,0.0840661629568009,0.05336919593017173,0.0721643693386936,0.008592664495609989,0.23133425568490482,15,4
protein_MedComplexNodes,0.07508512888518268,0.04768567543198057,0.06503141901931875,0.007134598948610529,0.2185069870892678,15,5
stoich_AvgNeighbourDegreeStoich,0.056002301405638645,0.04582037564756104,0.04767026278165887,-0.004731375971032142,0.15488048794338477,15,6
base_AvgNeighbourDegree,0.040573504146946396,0.033637076104029814,0.035906364948180336,-0.009360097452961708,0.09330154159982226,15,7
stoich_WeightedTriangles,0.039978721126812375,0.04121487825982611,0.02326226227199555,-0.015869434138031886,0.1323104953432493,15,8
base_LocalClustCoeff,0.03535066226394925,0.03261855344698133,0.022110251404022608,-0.004761784807488923,0.09991954663641829,15,9
base_TriangleCount,0.02784959883314908,0.019525409907373895,0.03047324970152554,-0.004813125233024007,0.056583989400242785,15,10
base_UniquePartners,0.009437729221243299,0.016069720560012494,0.010156209038647435,-0.013619102440826408,0.04981178520965495,15,11
protein_RangeUniqueRatio,0.002240574979603374,0.009759586947538748,0.005559734801206024,-0.020773886258529627,0.017341358043397932,15,12
protein_RangeComplexNodes,0.0013423050636585765,0.0065351190283270385,0.0032107382621092972,-0.011440591324625419,0.009306620027363427,15,13
