split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hb_graph_pr_auc
1,2644,662,23.373676248108925,23.413897280966765,0.6089731030893222,0.620705238907362,0.6346952800211367,0.6550241737466006
2,2644,662,23.373676248108925,23.413897280966765,0.596538118928821,0.6439207886703489,0.6498124939292923,0.6497192129517515
3,2644,662,23.373676248108925,23.413897280966765,0.6886497018331412,0.6953801069774096,0.7114176952516704,0.714305928788096
4,2644,662,23.373676248108925,23.413897280966765,0.6212913772888354,0.632163876999236,0.6410324455612825,0.6489464534075706
5,2644,662,23.373676248108925,23.413897280966765,0.6507175676453245,0.678573880513815,0.6970021713942153,0.7163721475372432
6,2644,662,23.373676248108925,23.413897280966765,0.608817903258381,0.6086065106469712,0.6218009168441961,0.6292220936948555
7,2644,662,23.373676248108925,23.413897280966765,0.7157976643235382,0.7210374144842939,0.7267724972014111,0.727407650094621
8,2644,662,23.373676248108925,23.413897280966765,0.6072864670210547,0.643236726561504,0.6497400354571925,0.6602259094228762
9,2644,662,23.373676248108925,23.413897280966765,0.5838668956367215,0.6190133653176023,0.62469806236298,0.63638417637246
10,2644,662,23.373676248108925,23.413897280966765,0.600074877008185,0.6162692977996139,0.6292828691049954,0.6509852673195423
11,2644,662,23.373676248108925,23.413897280966765,0.6164790628732592,0.6236898231675709,0.6334601270305737,0.6287182727940033
12,2644,662,23.373676248108925,23.413897280966765,0.5812365727059396,0.6071544710539426,0.6213355215439971,0.6355136405032659
13,2644,662,23.373676248108925,23.413897280966765,0.5147520912127512,0.52929062397959,0.548996483444512,0.5394105492878163
14,2644,662,23.373676248108925,23.413897280966765,0.6759834536973617,0.6980763765441006,0.7063851414838613,0.6889846061308772
15,2644,662,23.373676248108925,23.413897280966765,0.6105262638861124,0.6353924883665785,0.6388203002657741,0.6336968342604301
16,2644,662,23.373676248108925,23.413897280966765,0.6236537262141971,0.6410798231318264,0.6412675386523177,0.6225735817713833
17,2644,662,23.373676248108925,23.413897280966765,0.5920016268115964,0.6226355426557777,0.640900460100198,0.6613118103059047
18,2644,662,23.373676248108925,23.413897280966765,0.6012570441019882,0.6029526634317016,0.6233486595569631,0.6250077055835815
19,2644,662,23.373676248108925,23.413897280966765,0.6188202114024578,0.6500020996681837,0.6594676525870332,0.6433020979864903
20,2644,662,23.373676248108925,23.413897280966765,0.6044341491235005,0.6088815644873345,0.6127345047559911,0.6205608791344629
21,2644,662,23.373676248108925,23.413897280966765,0.5538977823182348,0.586528405513075,0.5939576251488808,0.6013912391586479
22,2644,662,23.373676248108925,23.413897280966765,0.6153850741871305,0.6362971127461553,0.6379199187850995,0.6483240147015152
23,2644,662,23.373676248108925,23.413897280966765,0.6344089168540559,0.6557134535661026,0.6740159194769806,0.684027630663446
24,2644,662,23.373676248108925,23.413897280966765,0.5884395611215446,0.6209313037117982,0.6340681804785779,0.6529181187561808
25,2644,662,23.373676248108925,23.413897280966765,0.6052536132372406,0.6065811358638925,0.6289389802655964,0.6183904000919024
26,2644,662,23.373676248108925,23.413897280966765,0.6078959685683019,0.6462229601672028,0.6517466825267114,0.6597134764602949
27,2644,662,23.373676248108925,23.413897280966765,0.5785739829283092,0.5832010196238162,0.5903654174650214,0.6175492439714652
28,2644,662,23.373676248108925,23.413897280966765,0.6198796980497377,0.6394117796390008,0.6417368793693125,0.6330886210826979
29,2644,662,23.373676248108925,23.413897280966765,0.614778033063767,0.6214153912110766,0.6389437181363424,0.6426932203166926
30,2644,662,23.373676248108925,23.413897280966765,0.6774370012219071,0.6907568070594851,0.6986233973389041,0.7022039668148392
31,2644,662,23.373676248108925,23.413897280966765,0.6090312185375331,0.6299001452166209,0.6371836930125807,0.6360577160508136
32,2644,662,23.373676248108925,23.413897280966765,0.5974301343982852,0.6108764990649738,0.625310773835482,0.6326109440740239
33,2644,662,23.373676248108925,23.413897280966765,0.6275560336401822,0.6597818621132683,0.6716123844134587,0.6862245649973322
34,2644,662,23.373676248108925,23.413897280966765,0.6171688078828613,0.6092988531298297,0.6150254982536302,0.6295873503813498
35,2644,662,23.373676248108925,23.413897280966765,0.5986431397987789,0.6258611036269236,0.6219773298841508,0.6206466971910622
36,2644,662,23.373676248108925,23.413897280966765,0.5951485770714,0.6265220182285962,0.6324442518988338,0.6378218259450094
37,2644,662,23.373676248108925,23.413897280966765,0.6720676844627469,0.6833734296294405,0.6891486104096852,0.7073184269518971
38,2644,662,23.373676248108925,23.413897280966765,0.6593508631773564,0.659559831895566,0.6740851240361084,0.7102939846284325
39,2644,662,23.373676248108925,23.413897280966765,0.6205888814849155,0.6650149557969844,0.665414835906867,0.6535944388208731
40,2644,662,23.373676248108925,23.413897280966765,0.6297026768639652,0.6499846237414935,0.675890395213412,0.6791807851960004
41,2644,662,23.373676248108925,23.413897280966765,0.6171792156789264,0.6232661060387614,0.631335763002409,0.6456377269071039
42,2644,662,23.373676248108925,23.413897280966765,0.6460672949510454,0.6758211962346964,0.6841039930484131,0.7020530507718185
43,2644,662,23.373676248108925,23.413897280966765,0.5747593202638038,0.6286484656672097,0.6354297725194114,0.6376816867988148
