split_index,feature,verdict,boruta_rank,feature_set
1,pair_Degree,confirmed,1,pairwise
1,pair_LocalClustCoeff,confirmed,1,pairwise
1,pair_TriangleCount,confirmed,1,pairwise
1,pair_AvgNeighborDegree,confirmed,1,pairwise
2,pair_Degree,confirmed,1,pairwise
2,pair_LocalClustCoeff,confirmed,1,pairwise
2,pair_TriangleCount,confirmed,1,pairwise
2,pair_AvgNeighborDegree,confirmed,1,pairwise
3,pair_Degree,confirmed,1,pairwise
3,pair_LocalClustCoeff,confirmed,1,pairwise
3,pair_TriangleCount,confirmed,1,pairwise
3,pair_AvgNeighborDegree,confirmed,1,pairwise
4,pair_Degree,confirmed,1,pairwise
4,pair_LocalClustCoeff,confirmed,1,pairwise
4,pair_TriangleCount,confirmed,1,pairwise
4,pair_AvgNeighborDegree,confirmed,1,pairwise
5,pair_Degree,confirmed,1,pairwise
5,pair_LocalClustCoeff,confirmed,1,pairwise
5,pair_TriangleCount,confirmed,1,pairwise
5,pair_AvgNeighborDegree,confirmed,1,pairwise
6,pair_Degree,confirmed,1,pairwise
6,pair_LocalClustCoeff,confirmed,1,pairwise
6,pair_TriangleCount,confirmed,1,pairwise
6,pair_AvgNeighborDegree,confirmed,1,pairwise
7,pair_Degree,confirmed,1,pairwise
7,pair_LocalClustCoeff,confirmed,1,pairwise
7,pair_TriangleCount,confirmed,1,pairwise
7,pair_AvgNeighborDegree,confirmed,1,pairwise
8,pair_Degree,confirmed,1,pairwise
8,pair_LocalClustCoeff,confirmed,1,pairwise
8,pair_TriangleCount,confirmed,1,pairwise
8,pair_AvgNeighborDegree,confirmed,1,pairwise
9,pair_Degree,confirmed,1,pairwise
9,pair_LocalClustCoeff,confirmed,1,pairwise
9,pair_TriangleCount,confirmed,1,pairwise
9,pair_AvgNeighborDegree,confirmed,1,pairwise
10,pair_Degree,confirmed,1,pairwise
10,pair_LocalClustCoeff,confirmed,1,pairwise
10,pair_TriangleCount,confirmed,1,pairwise
10,pair_AvgNeighborDegree,confirmed,1,pairwise
11,pair_Degree,confirmed,1,pairwise
11,pair_LocalClustCoeff,confirmed,1,pairwise
11,pair_TriangleCount,confirmed,1,pairwise
11,pair_AvgNeighborDegree,confirmed,1,pairwise
12,pair_Degree,confirmed,1,pairwise
12,pair_LocalClustCoeff,confirmed,1,pairwise
12,pair_TriangleCount,confirmed,1,pairwise
12,pair_AvgNeighborDegree,confirmed,1,pairwise
13,pair_Degree,confirmed,1,pairwise
13,pair_LocalClustCoeff,confirmed,1,pairwise
13,pair_TriangleCount,confirmed,1,pairwise
13,pair_AvgNeighborDegree,confirmed,1,pairwise
14,pair_Degree,confirmed,1,pairwise
14,pair_LocalClustCoeff,confirmed,1,pairwise
14,pair_TriangleCount,confirmed,1,pairwise
14,pair_AvgNeighborDegree,confirmed,1,pairwise
15,pair_Degree,confirmed,1,pairwise
15,pair_LocalClustCoeff,confirmed,1,pairwise
15,pair_TriangleCount,confirmed,1,pairwise
15,pair_AvgNeighborDegree,confirmed,1,pairwise
1,base_Degree,confirmed,1,hypergraph
1,base_LocalClustCoeff,rejected,4,hypergraph
1,base_TriangleCount,confirmed,1,hypergraph
1,base_UniquePartners,confirmed,1,hypergraph
1,base_AvgNeighbourDegree,confirmed,1,hypergraph
1,stoich_WeightedTriangles,confirmed,1,hypergraph
1,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
1,stoich_RangeComplexSize,rejected,2,hypergraph
1,stoich_MedComplexSize,confirmed,1,hypergraph
1,stoich_MedianRatio,confirmed,1,hypergraph
1,stoich_RangeRatio,confirmed,1,hypergraph
1,protein_MedianUniqueRatio,confirmed,1,hypergraph
1,protein_RangeUniqueRatio,confirmed,1,hypergraph
1,protein_MedComplexNodes,confirmed,1,hypergraph
1,protein_RangeComplexNodes,rejected,3,hypergraph
2,base_Degree,confirmed,1,hypergraph
2,base_LocalClustCoeff,rejected,5,hypergraph
2,base_TriangleCount,confirmed,1,hypergraph
2,base_UniquePartners,confirmed,1,hypergraph
2,base_AvgNeighbourDegree,confirmed,1,hypergraph
2,stoich_WeightedTriangles,confirmed,1,hypergraph
2,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
2,stoich_RangeComplexSize,rejected,3,hypergraph
2,stoich_MedComplexSize,confirmed,1,hypergraph
2,stoich_MedianRatio,confirmed,1,hypergraph
2,stoich_RangeRatio,tentative,2,hypergraph
2,protein_MedianUniqueRatio,confirmed,1,hypergraph
2,protein_RangeUniqueRatio,confirmed,1,hypergraph
2,protein_MedComplexNodes,confirmed,1,hypergraph
2,protein_RangeComplexNodes,rejected,4,hypergraph
3,base_Degree,confirmed,1,hypergraph
3,base_LocalClustCoeff,rejected,4,hypergraph
3,base_TriangleCount,confirmed,1,hypergraph
3,base_UniquePartners,confirmed,1,hypergraph
3,base_AvgNeighbourDegree,confirmed,1,hypergraph
3,stoich_WeightedTriangles,confirmed,1,hypergraph
3,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
3,stoich_RangeComplexSize,rejected,2,hypergraph
3,stoich_MedComplexSize,confirmed,1,hypergraph
3,stoich_MedianRatio,confirmed,1,hypergraph
3,stoich_RangeRatio,confirmed,1,hypergraph
3,protein_MedianUniqueRatio,confirmed,1,hypergraph
3,protein_RangeUniqueRatio,confirmed,1,hypergraph
3,protein_MedComplexNodes,confirmed,1,hypergraph
3,protein_RangeComplexNodes,rejected,3,hypergraph
4,base_Degree,confirmed,1,hypergraph
4,base_LocalClustCoeff,rejected,4,hypergraph
4,base_TriangleCount,confirmed,1,hypergraph
4,base_UniquePartners,confirmed,1,hypergraph
4,base_AvgNeighbourDegree,confirmed,1,hypergraph
4,stoich_WeightedTriangles,confirmed,1,hypergraph
4,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
4,stoich_RangeComplexSize,rejected,2,hypergraph
4,stoich_MedComplexSize,confirmed,1,hypergraph
4,stoich_MedianRatio,confirmed,1,hypergraph
4,stoich_RangeRatio,confirmed,1,hypergraph
4,protein_MedianUniqueRatio,confirmed,1,hypergraph
4,protein_RangeUniqueRatio,confirmed,1,hypergraph
4,protein_MedComplexNodes,confirmed,1,hypergraph
4,protein_RangeComplexNodes,rejected,3,hypergraph
5,base_Degree,confirmed,1,hypergraph
5,base_LocalClustCoeff,rejected,4,hypergraph
5,base_TriangleCount,confirmed,1,hypergraph
5,base_UniquePartners,confirmed,1,hypergraph
5,base_AvgNeighbourDegree,confirmed,1,hypergraph
5,stoich_WeightedTriangles,confirmed,1,hypergraph
5,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
5,stoich_RangeComplexSize,rejected,5,hypergraph
5,stoich_MedComplexSize,confirmed,1,hypergraph
5,stoich_MedianRatio,confirmed,1,hypergraph
5,stoich_RangeRatio,tentative,2,hypergraph
5,protein_MedianUniqueRatio,confirmed,1,hypergraph
5,protein_RangeUniqueRatio,confirmed,1,hypergraph
5,protein_MedComplexNodes,confirmed,1,hypergraph
5,protein_RangeComplexNodes,rejected,3,hypergraph
6,base_Degree,confirmed,1,hypergraph
6,base_LocalClustCoeff,rejected,4,hypergraph
6,base_TriangleCount,confirmed,1,hypergraph
6,base_UniquePartners,confirmed,1,hypergraph
6,base_AvgNeighbourDegree,confirmed,1,hypergraph
6,stoich_WeightedTriangles,confirmed,1,hypergraph
6,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
6,stoich_RangeComplexSize,rejected,3,hypergraph
6,stoich_MedComplexSize,confirmed,1,hypergraph
6,stoich_MedianRatio,confirmed,1,hypergraph
6,stoich_RangeRatio,confirmed,1,hypergraph
6,protein_MedianUniqueRatio,confirmed,1,hypergraph
6,protein_RangeUniqueRatio,confirmed,1,hypergraph
6,protein_MedComplexNodes,confirmed,1,hypergraph
6,protein_RangeComplexNodes,rejected,2,hypergraph
7,base_Degree,confirmed,1,hypergraph
7,base_LocalClustCoeff,rejected,4,hypergraph
7,base_TriangleCount,confirmed,1,hypergraph
7,base_UniquePartners,confirmed,1,hypergraph
7,base_AvgNeighbourDegree,confirmed,1,hypergraph
7,stoich_WeightedTriangles,confirmed,1,hypergraph
7,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
7,stoich_RangeComplexSize,rejected,3,hypergraph
7,stoich_MedComplexSize,confirmed,1,hypergraph
7,stoich_MedianRatio,confirmed,1,hypergraph
7,stoich_RangeRatio,tentative,2,hypergraph
7,protein_MedianUniqueRatio,confirmed,1,hypergraph
7,protein_RangeUniqueRatio,confirmed,1,hypergraph
7,protein_MedComplexNodes,confirmed,1,hypergraph
7,protein_RangeComplexNodes,rejected,5,hypergraph
8,base_Degree,confirmed,1,hypergraph
8,base_LocalClustCoeff,rejected,4,hypergraph
8,base_TriangleCount,confirmed,1,hypergraph
8,base_UniquePartners,confirmed,1,hypergraph
8,base_AvgNeighbourDegree,confirmed,1,hypergraph
8,stoich_WeightedTriangles,confirmed,1,hypergraph
8,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
8,stoich_RangeComplexSize,rejected,2,hypergraph
8,stoich_MedComplexSize,confirmed,1,hypergraph
8,stoich_MedianRatio,confirmed,1,hypergraph
8,stoich_RangeRatio,confirmed,1,hypergraph
8,protein_MedianUniqueRatio,confirmed,1,hypergraph
8,protein_RangeUniqueRatio,confirmed,1,hypergraph
8,protein_MedComplexNodes,confirmed,1,hypergraph
8,protein_RangeComplexNodes,rejected,3,hypergraph
9,base_Degree,confirmed,1,hypergraph
9,base_LocalClustCoeff,rejected,3,hypergraph
