rank,type,feature,mean,std,hit_rate,binom_p
1,real,stoich_MedianRatio,0.047480029394800304,0.024980525763259494,0.9,2.5548753585057904e-25
2,real,base_Degree,0.030906926861844538,0.020475209047461067,0.84,6.68983977234623e-18
3,real,stoich_MedComplexSize,0.022638901507656347,0.020036656457257152,0.7533333333333333,3.830070299438247e-10
4,real,stoich_RangeComplexSize,0.019745283102419145,0.019680039308155994,0.66,0.00010978172637063558
5,real,protein_MedianUniqueRatio,0.015033919436350497,0.017896140349399937,0.6,0.017597691928785734
6,real,stoich_RangeRatio,0.014521658503540728,0.016252385918801127,0.5666666666666667,0.12052916970948853
7,real,protein_MedComplexNodes,0.013263014431588662,0.017547436554993304,0.5466666666666666,0.28845574899076454
8,real,protein_RangeUniqueRatio,0.011715442726394817,0.016855328784160663,0.5333333333333333,0.4625495178668307
9,real,stoich_AvgNeighbourDegreeStoich,0.011253286725884071,0.016633257573726714,0.5133333333333333,0.8065959963978476
10,real,base_AvgNeighbourDegree,0.007399903550236857,0.015282824096819265,0.4,0.017597691928785734
11,real,base_UniquePartners,0.007180044401176895,0.014195716518424287,0.3466666666666667,0.00021507659441552787
12,real,base_LocalClustCoeff,0.004975147241721122,0.007243582651495768,0.29333333333333333,4.399452761880553e-07
13,real,stoich_WeightedTriangles,0.004962838314424461,0.012831216928508514,0.31333333333333335,5.597619670017182e-06
14,real,base_TriangleCount,0.004594084570403093,0.010852943944720063,0.30666666666666664,2.471582905815955e-06
15,real,protein_RangeComplexNodes,0.0012833292349778735,0.009290919815165426,0.20666666666666667,2.3439580458997407e-13
16,NOISE,rand_1,0.0005673306098014105,0.015792650250093868,,
17,NOISE,rand_3,0.000538740047551702,0.014309478060068263,,
18,NOISE,rand_0,-0.0013428937372297128,0.019018241281925276,,
19,NOISE,rand_2,-0.004096580484375565,0.016800798283610186,,
