split_index,rand_pr_auc_mean,rand_pr_auc_std,pair_pr_auc_mean,pair_pr_auc_std,hyper_pr_auc_mean,hyper_pr_auc_std,rand_f1_mean,rand_f1_std,pair_f1_mean,pair_f1_std,hyper_f1_mean,hyper_f1_std
1,0.04066015737711977,0.007902829105982776,0.15279453030122664,0.047392521155730866,0.26827627778261615,0.026196374925156408,0.016853117501341885,0.037201992344465425,0.14641835184542962,0.06424992044400843,0.21457370388044444,0.03333909310462063
2,0.0740815825518633,0.016543306692195087,0.16255772783941577,0.040972234872777125,0.23853203677860174,0.024776759418109293,0.061034205432000485,0.05150317339146727,0.13617264459650524,0.07520019515892915,0.2145592467813034,0.054675710136453684
3,0.07063170858439612,0.006017837444401003,0.15162304975695667,0.017722911983327146,0.23326616464690986,0.014665477594062507,0.01783573704934009,0.02706468301219402,0.1822424975363989,0.06753098671776794,0.1349822136952012,0.03243148269159785
4,0.03208286585035759,0.006828941079195947,0.15928608105156047,0.046064302467680326,0.23301717236532998,0.05129114218496642,0.020456914359353384,0.027611075951883668,0.1549973922167425,0.035988868661753555,0.19192897628783304,0.05309221052939339
5,0.07448007159489298,0.014815756968249497,0.15743898280413954,0.02078706854901285,0.2247323908726077,0.029088061862886806,0.021415975704935513,0.03915665477836342,0.15580134841392254,0.07319610297899352,0.15962288575335465,0.05427894934443912
6,0.056764508696665564,0.008921841721708861,0.1462923078789894,0.0266528010582812,0.24320992797526847,0.03275557099910512,0.03662761886615782,0.04314486344751698,0.11850798234407911,0.09305229445203371,0.18431637441502258,0.06426780365545542
7,0.06252768288105799,0.014027545225821551,0.11132134276763268,0.013687011466026343,0.21505180820589226,0.044867962389043184,0.03706880795735029,0.036030715495402786,0.1001792328042328,0.08226499909066731,0.18051209412144176,0.0889485263782921
8,0.07252309903358385,0.03039106329995073,0.13250629004518755,0.017427633218001778,0.22167901864122888,0.027224344356909184,0.04599795205571912,0.05246303255513518,0.17380697854347826,0.010451817801627742,0.24502400144763162,0.022762859541980377
9,0.06505531059352496,0.009439222408321039,0.1362078339176025,0.018130955879630508,0.256793096612694,0.027497817603980183,0.032848702078650024,0.043819408229736345,0.1715293674111656,0.05588289861785209,0.21857151906545366,0.030152040144882944
10,0.05486101492186511,0.00927076871825136,0.13187572876857176,0.025995606767373967,0.21435599372435296,0.029925126792047688,0.024501172442564702,0.03368072474836917,0.12739895841610863,0.07137625837750747,0.21063135544824535,0.033513848006844725
11,0.07762679028349698,0.01554202361720211,0.18264126021430735,0.031553130687403196,0.23373288681527504,0.03148664141041391,0.06956057055946067,0.06435302677458192,0.12946552211573686,0.09250124442067614,0.20684278111905763,0.08784851846719073
12,0.05904144724291881,0.016425959281450908,0.16866008418732945,0.03084833917494947,0.14591439620863897,0.009394004433744047,0.031122098155436078,0.039241376147740994,0.13489060165577926,0.11107946663831895,0.1419892169823588,0.088326618706657
13,0.07408002766662679,0.006086748729745724,0.13334533566212023,0.018594957056226477,0.22936908078326423,0.04228385286362361,0.05846561573731375,0.049073539502818016,0.1649574797385443,0.018089463471949896,0.1932972179556822,0.07986757534407588
14,0.05220492539538708,0.011615026152970383,0.08199307759681211,0.00985151065178855,0.16148556414755527,0.031146518990656923,0.022201232774902664,0.031763932814790515,0.06719337192000836,0.05075359769322105,0.13499286403191088,0.04569663004649714
15,0.061204575572295604,0.018590908050128616,0.1305638981715333,0.018390703576818736,0.23046822387523308,0.02364807840003276,0.04668828615975896,0.0458909686515973,0.15258836555130903,0.040541324235382654,0.17068215406875953,0.07042507662207445
MEAN_OVER_SPLITS,0.061855051216403514,0.012827985233038373,0.14260716873089233,0.025604779237668567,0.22332560262903123,0.02974984894831587,0.03617853378895237,0.04146661118973753,0.14107667300729607,0.06281062925071264,0.18683510700358005,0.055975129514697027
