rank,type,feature,mean,std,hit_rate,binom_p
1,real,base_TriangleCount,0.04675217180392723,0.027596359192986,0.9266666666666666,2.2621587335491238e-29
2,real,stoich_WeightedTriangles,0.043857386385736406,0.037247439199797165,0.9266666666666666,2.2621587335491238e-29
3,real,base_AvgNeighbourDegree,0.035366305718184395,0.013091015981260484,0.98,7.884069497892145e-40
4,real,base_UniquePartners,0.02484142542129509,0.02346111717305391,0.84,6.68983977234623e-18
5,real,protein_MedComplexNodes,0.018312862559540774,0.014493556701098509,0.8733333333333333,9.06036169351255e-22
6,real,protein_MedianUniqueRatio,0.01800669456833567,0.013463717002662572,0.9066666666666666,2.7927572561866964e-26
7,real,protein_RangeUniqueRatio,0.015509989450946868,0.007156715034923817,0.9666666666666667,8.581873127276034e-37
8,real,protein_RangeComplexNodes,0.0124798019872037,0.007901150459118714,0.92,2.642343883518912e-28
9,real,stoich_AvgNeighbourDegreeStoich,0.010288459992805275,0.006970134712585662,0.86,3.7496164825096794e-20
10,real,stoich_MedianRatio,0.004810617713713623,0.007750025941981756,0.7533333333333333,3.830070299438247e-10
11,real,base_LocalClustCoeff,0.0031462227218895713,0.00830795484191735,0.72,6.915618314188382e-08
12,real,stoich_RangeComplexSize,0.0030972006271886574,0.005591576629712206,0.43333333333333335,0.12052916970948853
13,real,stoich_RangeRatio,0.0022388923739788905,0.003185355949566288,0.43333333333333335,0.12052916970948853
14,real,base_Degree,0.0020970703388087405,0.005222039173181845,0.43333333333333335,0.12052916970948853
15,NOISE,rand_0,0.0004424649432056062,0.002614531641451424,,
16,NOISE,rand_1,0.00034590732668951556,0.002410623639801205,,
17,NOISE,rand_4,0.00023249057573076172,0.0023149089895860404,,
18,NOISE,rand_3,0.00017021994148422637,0.0021530377476505916,,
19,NOISE,rand_2,-0.0001563405120249183,0.0022330295100502807,,
20,real,stoich_MedComplexSize,-0.000762401396613487,0.009165322130155678,0.34,0.00010978172637063558
