feature,mean,std,median,n,is_noise
pair_TriangleCount,0.1654625022180007,0.04938383615139225,0.17870413266998497,150,False
pair_Degree,0.08305403283351674,0.03835681906487293,0.08505637114328742,150,False
pair_LocalClustCoeff,0.029821776743304784,0.020576839103193807,0.02806203729603663,150,False
pair_AvgNeighborDegree,0.018000494727834843,0.02873139179972546,0.02056904183227782,150,False
[noise × 5],0.000261135849357147,0.004508048912609953,-0.00011930335200630027,750,True
rand_0,0.0007418154722686453,0.004065509537193863,0.0005136690500053748,150,True
rand_1,0.00045357320876583543,0.005000240941497316,0.00023071223909715415,150,True
rand_2,-0.0003291944184053239,0.004583274521440401,-0.0006981164534058282,150,True
rand_3,0.0003691768390990388,0.004447808779942529,-1.4281961299411615e-05,150,True
rand_4,7.030814505753972e-05,0.00431597920640871,-0.00042084004345416536,150,True
