split_index,rand_pr_auc_mean,rand_pr_auc_std,pair_pr_auc_mean,pair_pr_auc_std,hyper_pr_auc_mean,hyper_pr_auc_std,rand_f1_mean,rand_f1_std,pair_f1_mean,pair_f1_std,hyper_f1_mean,hyper_f1_std
1,0.25909815118806356,0.014317117477764898,0.5830407671101919,0.013882692329566092,0.6975972060678808,0.007062639091227343,0.19813288167291948,0.10495112814401486,0.548608600373872,0.011325452460742867,0.5643970181031187,0.0038711983205525187
2,0.2602348172824266,0.01624016593407706,0.46574425465612423,0.01595048283800116,0.5976308713648599,0.005950963007323357,0.143476627439097,0.07787924721145016,0.5067103638203051,0.019733961520945777,0.5774084306536634,0.0035952287381430205
3,0.24113654730431394,0.014663243612570804,0.5660911870468966,0.00889657907788676,0.6104891774950085,0.008594076331177763,0.09062922628699377,0.09123977804684882,0.4959781741293209,0.01457229290262705,0.5374523814379251,0.00349939664359393
4,0.22334317464874767,0.014748951563333763,0.5329499852521293,0.016706410709181097,0.6333148865652041,0.005699102108765905,0.135511533666263,0.10412879738253371,0.5001451491602907,0.014384190142283712,0.5463012132637582,0.0020316402523394544
5,0.17584363940645448,0.012682460201883992,0.3995007243179914,0.005741226415480385,0.4731535938130456,0.004025168680623596,0.1755655162309558,0.0730034439860995,0.4047931519519824,0.01331335270410741,0.4646403072506159,0.01847504484601234
6,0.27400584647194115,0.017731521083984597,0.5798860604860263,0.010851421808134878,0.6431484199273265,0.008630204336527607,0.1592999589013458,0.10784535908617716,0.5665891485612848,0.009744436245311329,0.6008134299985582,0.001937391568160351
7,0.1917738367779567,0.019108778977898637,0.5056944504149925,0.010828115553100157,0.584397734471732,0.0068830886614286236,0.16419176344735256,0.07886079108858073,0.4261833321218827,0.006328838000719275,0.48409493670652415,0.004292044386020821
8,0.23871475576151288,0.02215904851295703,0.563919761506355,0.010074618913733449,0.5685155939780685,0.013618063843744461,0.1460179218463959,0.10242194814703397,0.503865562413695,0.008828085297782971,0.5085674895963807,0.0067699604702255705
9,0.2342279835384912,0.021937085896332413,0.5665349082718498,0.017580662402570186,0.6401904855801175,0.006826182646551056,0.18063864356704235,0.11997974552488876,0.5505087498786719,0.01815220504304031,0.5662942475658892,0.005149772840305714
10,0.2814762947260233,0.019328842598638506,0.5466729005638388,0.013202330057440028,0.6547174432510097,0.0070771035872403696,0.17863642204120073,0.09075432205604338,0.555343363844753,0.007955610649558058,0.5925240900277003,0.0030605313916753957
11,0.24468178149439263,0.015307459554290515,0.5042105401462489,0.028216343057270225,0.5965110659150874,0.013453907702431342,0.21203586633880608,0.11114712060394272,0.5098143391282879,0.008753438511754176,0.5240701035931937,0.0037988925350451682
12,0.18921610344285705,0.019900107625068168,0.3235202209272431,0.012696024271614311,0.3737314257769734,0.003240309129264379,0.09889178052456304,0.05551140454316433,0.3466022986534007,0.01285648673600051,0.38858478943441843,0.0032267658007044146
13,0.28923781938083454,0.014786254549855299,0.6523489488939389,0.008316573609874579,0.6758804411910138,0.012424485692212734,0.15936893951178568,0.1277236049549184,0.5971408906761616,0.00903939072170684,0.6081069523017784,0.0020301347530097508
14,0.17884733483572984,0.01597406083086926,0.22416551219505995,0.005980908620163404,0.2878952427628277,0.0051309022186482225,0.07643248169137672,0.06412583388266835,0.32073302882889215,0.01524475597597545,0.36175193609931006,0.006964245860584029
15,0.22403875421394076,0.01198861695232465,0.44605270793359,0.013495852479295304,0.5162857131118486,0.008128317009652658,0.14977477574708203,0.11494365723199212,0.4681117030178187,0.01879122943309347,0.5143616326843711,0.007134010178954986
MEAN_OVER_SPLITS,0.23372512269824577,0.01672491435812331,0.49735552864816507,0.012828016142887469,0.5702306200848002,0.007782967603121293,0.15124028926087868,0.09496774545935714,0.4867418571040413,0.012601581756376613,0.5226245972478136,0.0050557505723551645
