feature,mean,std,median,n,is_noise
base_Degree,0.09826715608481462,0.06366444670128198,0.08514936686160549,150,False
protein_MedianUniqueRatio,0.07191767495866358,0.05139013031327241,0.06671394498215902,150,False
protein_MedComplexNodes,0.05710649099765317,0.038363034394108986,0.05012164232575633,150,False
stoich_MedComplexSize,0.056701675793707836,0.03153765255341124,0.047080556078739795,150,False
stoich_MedianRatio,0.05506444692687419,0.03447878507860825,0.04686631178432056,150,False
stoich_AvgNeighbourDegreeStoich,0.049554245575735574,0.04707182716132956,0.04098339027021658,150,False
stoich_WeightedTriangles,0.038956499489095575,0.04089886713469405,0.0335743203525058,150,False
base_AvgNeighbourDegree,0.03041915021762616,0.02633448953041313,0.02397983058988929,150,False
base_LocalClustCoeff,0.024503736219653804,0.021667417976013566,0.022181549621915174,150,False
base_TriangleCount,0.01585555397225914,0.01603765763277582,0.014376381635033783,150,False
base_UniquePartners,0.006071307244454738,0.01378345687037309,0.005413537547400763,150,False
stoich_RangeComplexSize,-0.0012401308802140888,0.005385035441922092,-0.0003551275127557485,150,False
protein_RangeUniqueRatio,-0.001700132490405267,0.008756701504457206,-0.00032351299775293385,150,False
protein_RangeComplexNodes,-0.002484239072885244,0.0068378213736902905,-0.001998392184025149,150,False
stoich_RangeRatio,-0.0030103084333302156,0.007747471434250035,-0.00135327276747724,150,False
[noise × 5],-0.00022084260591706946,0.008630092668289275,-0.00017633322801683394,750,True
rand_0,-0.0004356725137352029,0.007932876382490548,-0.0005820415584602917,150,True
rand_1,0.0005794550162882608,0.0098992575297286,0.00028863333880710797,150,True
rand_2,-0.000398698640290311,0.008057186975419075,0.0001774193227304044,150,True
rand_3,-0.00041263173062564695,0.008484911622350658,-0.0004339045167844641,150,True
rand_4,-0.0004366651612224471,0.008587960141644462,-0.0007184429345754584,150,True
