rank,type,feature,mean,std,hit_rate,binom_p
1,real,base_Degree,0.09826715608481462,0.06366444670128198,0.98,7.884069497892145e-40
2,real,protein_MedianUniqueRatio,0.07191767495866358,0.05139013031327241,0.94,1.2403361289530762e-31
3,real,protein_MedComplexNodes,0.05710649099765317,0.038363034394108986,0.9133333333333333,2.829047199141368e-27
4,real,stoich_MedComplexSize,0.056701675793707836,0.03153765255341124,0.9733333333333334,2.91790991940877e-38
5,real,stoich_MedianRatio,0.05506444692687419,0.03447878507860825,0.96,2.08925524731209e-35
6,real,stoich_AvgNeighbourDegreeStoich,0.049554245575735574,0.04707182716132956,0.9,2.5548753585057904e-25
7,real,stoich_WeightedTriangles,0.038956499489095575,0.04089886713469405,0.72,6.915618314188382e-08
8,real,base_AvgNeighbourDegree,0.03041915021762616,0.02633448953041313,0.7666666666666667,3.768666600087516e-11
9,real,base_LocalClustCoeff,0.024503736219653804,0.021667417976013566,0.7866666666666666,8.839070431755038e-13
10,real,base_TriangleCount,0.01585555397225914,0.01603765763277582,0.66,0.00010978172637063558
11,real,base_UniquePartners,0.006071307244454738,0.01378345687037309,0.4,0.017597691928785734
12,NOISE,rand_1,0.0005794550162882608,0.0098992575297286,,
13,NOISE,rand_2,-0.000398698640290311,0.008057186975419075,,
14,NOISE,rand_3,-0.00041263173062564695,0.008484911622350658,,
15,NOISE,rand_0,-0.0004356725137352029,0.007932876382490548,,
16,NOISE,rand_4,-0.0004366651612224471,0.008587960141644462,,
17,real,stoich_RangeComplexSize,-0.0012401308802140888,0.005385035441922092,0.09333333333333334,2.7927572561866964e-26
18,real,protein_RangeUniqueRatio,-0.001700132490405267,0.008756701504457206,0.2,5.973732026445346e-14
19,real,protein_RangeComplexNodes,-0.002484239072885244,0.0068378213736902905,0.08,2.642343883518912e-28
20,real,stoich_RangeRatio,-0.0030103084333302156,0.007747471434250035,0.13333333333333333,5.9947295585608996e-21
