feature,mean,std,median,n,is_noise
pair_LocalClustCoeff,0.10712799492867402,0.04846773747274086,0.10710121785098928,150,False
pair_AvgNeighborDegree,0.03491311792286828,0.02530635377058415,0.03345814820974506,150,False
pair_Degree,0.028583472336532717,0.026926309268151153,0.022964647898032924,150,False
pair_TriangleCount,0.028042024383120392,0.023152080076504804,0.026403361219831577,150,False
[noise × 5],-0.000861411333395445,0.013058495839834344,-0.0006238421814006468,750,True
rand_0,-0.001873061859391677,0.011986139661507947,-0.0010797930366879289,150,True
rand_1,-0.0009087633098644007,0.01178564637870282,-0.0014566861518698986,150,True
rand_2,-0.0003149010519914189,0.013135650323023761,4.188312034535679e-05,150,True
rand_3,-0.00027831505559461936,0.013367599952594084,-0.0005307733434874549,150,True
rand_4,-0.0009320153901351091,0.014735847001729639,-0.0004293511992061863,150,True
