split_index,rand_pr_auc_mean,rand_pr_auc_std,pair_pr_auc_mean,pair_pr_auc_std,hyper_pr_auc_mean,hyper_pr_auc_std,rand_f1_mean,rand_f1_std,pair_f1_mean,pair_f1_std,hyper_f1_mean,hyper_f1_std
1,0.06717967923585773,0.014377628582707497,0.23014159681680701,0.03593712241186389,0.45290369110481576,0.012027330887072054,0.029672292464297822,0.049535042876753775,0.2108143139096294,0.04153895942510532,0.2535960890820893,0.003714171794497379
2,0.10631906420224535,0.011653604398264367,0.3090861744949848,0.042389871289519494,0.533863900387378,0.030648954762035014,0.05950278556240961,0.05205818482040306,0.3744797098517007,0.036122475629422134,0.4169008283892926,0.019136052165539177
3,0.07536774616280864,0.010791641321860668,0.19986318173030077,0.028633045896586752,0.2624543527959996,0.015127219594019147,0.058860992601304354,0.04706752311889443,0.19834596735996773,0.07759037595691587,0.21611800022933975,0.07844832662356954
4,0.09489235143728514,0.015276181656879991,0.1675193472829665,0.014381647564185274,0.34652877123248116,0.022234006801201512,0.03019036091075763,0.04282092222576369,0.09660847461511364,0.07243292070208683,0.24792751909338465,0.07713215544930889
5,0.07882999811821363,0.010403656124101974,0.2553610459492044,0.02860172855521793,0.4347254525823412,0.02250735291669828,0.054308545109795735,0.05497836584831107,0.2612936027393876,0.04028916105610972,0.3260594942364629,0.005399156343557098
6,0.08431630624284614,0.010697952919032546,0.1624462929037876,0.01574991009390177,0.23448049523510978,0.0197426443486049,0.05182443836964754,0.050201144440145326,0.10235147045030604,0.06685930574904009,0.13297945547385034,0.06446998533809654
7,0.11285924788350718,0.01243171162866651,0.24604345976223416,0.026104773493142833,0.3962090966459272,0.0247766136455796,0.05880264574848465,0.06249495825413073,0.0872909562816118,0.09850220726204699,0.29188201282134896,0.10654887898827754
8,0.09610847876062109,0.02748071704750815,0.28649748385013984,0.09039515440945313,0.583792351237307,0.0324948223664613,0.060078638396528626,0.06856683803328169,0.2845856437734389,0.05831179509852975,0.3639194379747976,0.005869643797741388
9,0.08167488573927474,0.01268800950742249,0.18225954047221313,0.022887817288086813,0.30182761104715927,0.02964195184681301,0.04371033519790894,0.0623890603697327,0.19826268042021294,0.10511806512179876,0.18472904394907874,0.07466789717475904
10,0.09460642437291293,0.011327465688746537,0.24951082525935203,0.03351893930022226,0.4092670175593847,0.01759232370098638,0.06675809237688154,0.05024097669443942,0.31745560880849827,0.011387529784750064,0.33323105257053054,0.0031573429838646122
11,0.09983684063769463,0.020774064911068445,0.2263819480724872,0.025519205143501377,0.35145760125423975,0.013825749343088724,0.04708832240280664,0.06314715276788296,0.27342615972528045,0.060580088120620296,0.3290305622576243,0.009604203385718154
12,0.08451448340194775,0.013319872618697291,0.29299956983503733,0.02793877503055071,0.4669354724348501,0.014340849044318378,0.023075161553422423,0.03539243991013179,0.2752004507141851,0.10938519434140767,0.3771927870405626,0.009863814353592595
13,0.09974486532791264,0.009728972948568192,0.17011096272831455,0.024215560455644217,0.3408090380573924,0.008798501754579998,0.051256721853325846,0.05556623778894531,0.2312886058442601,0.08623792082022394,0.3373005214059195,0.007576666986536467
14,0.08401544992929415,0.011010959257509572,0.2584787680445157,0.02720738487523068,0.3683480288481401,0.021909831449150995,0.03976268745349604,0.043363270533654664,0.29265471469150717,0.009400461113499946,0.3297781530307675,0.008567558983964631
15,0.08329641737757656,0.013822670158941551,0.24603352209914292,0.04068735190371345,0.39981106210330436,0.02736000432412035,0.02493129827688651,0.038602760675830954,0.07950440988143673,0.07916596180204608,0.306542530382629,0.04201895643692143
MEAN_OVER_SPLITS,0.08957081592199989,0.013719007251331721,0.2321822479534325,0.032277885847388034,0.39222759616838865,0.020868543785648643,0.046654887885196936,0.0517616585572201,0.21890418460443578,0.06352816146557357,0.2964791658625119,0.034411654053729625
