feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.1505544854001312,0.07766026452485421,0.16596429193040776,0.01479870395357781,0.30744654350551764,50,1
protein_MedComplexNodes,0.14615200591287514,0.060691597666637336,0.13451264167422933,0.03621473930019246,0.3056068772494366,50,2
stoich_MedianRatio,0.10756711751114753,0.055085934367327866,0.10658992784660562,0.01275400521286583,0.24433377433209807,50,3
stoich_MedComplexSize,0.091860618021264,0.05552402130772966,0.07772746080497359,0.01868311689410737,0.23262296917336917,50,4
base_AvgNeighbourDegree,0.06886398778308074,0.04064452885088156,0.06123678991153582,0.0018249903547223778,0.16681974067634506,50,5
stoich_WeightedTriangles,0.05709674846974343,0.03522489491329399,0.051229766054303336,0.0019391472576887115,0.1425848623310091,50,6
stoich_AvgNeighbourDegreeStoich,0.047344141892404476,0.05025416533032161,0.033804577342692904,-0.004156411591965359,0.23798556128962317,50,7
base_TriangleCount,0.022983482191432248,0.031171938787632705,0.015766323428933228,-0.02545953676915788,0.11513789041579917,50,8
base_LocalClustCoeff,0.009497904037248404,0.031347752995610365,0.006239701840365508,-0.08115645180586713,0.1344089278885146,50,9
base_UniquePartners,0.007342033520937752,0.01227337806290353,0.0048987431906808935,-0.015366065304384374,0.03932337758442857,50,10
protein_RangeUniqueRatio,0.003800278277906261,0.008588317847276802,0.0020459041957658574,-0.017496301204297425,0.035304083530616356,50,11
protein_RangeComplexNodes,-0.000845132711373561,0.00635266535904518,0.0,-0.01816753352323113,0.024082135810454514,50,12
stoich_RangeRatio,-0.0011430422715876954,0.008773614108339729,-8.09813626594158e-05,-0.04469821522770938,0.026028604749292323,50,13
stoich_RangeComplexSize,-0.005369815071640017,0.013053296132370771,-0.0007267754628361989,-0.05561535244088983,0.010718646894005996,50,14
