split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hb_graph_pr_auc
1,2763,625,7.926167209554831,8.48,0.29511389493119433,0.35919020127369533,0.33734602786562673,0.34862004147244546
2,2693,695,7.98366134422577,8.201438848920864,0.23825949256455983,0.18867319497420668,0.19898573598762215,0.24719742629084698
3,2704,684,7.803254437869822,8.91812865497076,0.2899254122691304,0.3140033642570623,0.33768143810918805,0.35627162350114683
4,2773,615,7.825459790840244,8.94308943089431,0.4542726712131582,0.4576462610309693,0.43569538320692014,0.4503007229211951
5,2599,789,7.5798383993843785,9.505703422053232,0.2933349392908273,0.31648862924861537,0.3162700210734286,0.31780979563230716
6,2705,683,8.317929759704251,6.881405563689605,0.25899944191919094,0.31970814908762046,0.3564862571899732,0.40557524791425337
7,2782,606,8.267433501078362,6.9306930693069315,0.20356921452247523,0.34792076824453627,0.37101037411451115,0.42089614243263435
8,2743,645,7.874589865111192,8.682170542635658,0.43031052393031616,0.49110294931088794,0.4713579251634788,0.5207160485528453
9,2813,575,8.24742268041237,6.956521739130435,0.26207622661837493,0.368323594958597,0.38631723004231866,0.4676803081021399
10,2763,625,7.781397032211365,9.120000000000001,0.3694410023409632,0.45277749419588253,0.4397451053394988,0.4265270059989481
11,2740,648,8.321167883211679,6.790123456790123,0.39786684581638,0.4854436216580088,0.5124972993219689,0.5064211275661264
12,2752,636,7.776162790697675,9.119496855345911,0.2390982062506946,0.41187944397178633,0.4261938579680655,0.4347092099192442
13,2670,718,7.715355805243446,9.192200557103064,0.2328998398194972,0.2524300140047304,0.24376232487160304,0.2858369171961446
14,2713,675,8.367121267969038,6.666666666666667,0.3190918855877433,0.4837196623256211,0.48798411508342426,0.47765132066224975
15,2731,657,7.945807396558037,8.37138508371385,0.3665945097107938,0.3994063440024883,0.38533236292479384,0.41792510625817086
16,2752,636,8.357558139534884,6.60377358490566,0.36973729992815585,0.4583702370084801,0.5298134764871189,0.4259892925030229
17,2702,686,7.66099185788305,9.475218658892128,0.27034818947064443,0.31047238427137014,0.33294435753568014,0.31369014883737845
18,2693,695,7.760861492759005,9.06474820143885,0.27569656009515464,0.32114276018110594,0.31426661570424663,0.35644118285426374
19,2736,652,8.150584795321638,7.515337423312883,0.245055916786499,0.3817000800784369,0.483797030043428,0.37468314187007945
20,2637,751,8.418657565415245,6.657789613848203,0.32351062755342924,0.49876334736916933,0.5739434671290914,0.5730215042718959
21,2775,613,8.108108108108109,7.6672104404567705,0.3537758969784407,0.5104335557508742,0.496711894646395,0.48888810546103934
22,2701,687,8.293224731580896,6.986899563318777,0.21423644928768731,0.23506695484242196,0.2589939188028926,0.26706139889103536
23,2809,579,8.081167675329299,7.772020725388601,0.28627721154319347,0.4399056714499589,0.3684662040277672,0.4393674277874562
24,2805,583,8.306595365418895,6.689536878216123,0.21494284442462014,0.3109168871430912,0.29844307603908704,0.29080369588705923
25,2652,736,7.7300150829562595,9.103260869565217,0.26792435614559523,0.4763584919637758,0.54521203025659,0.5611451999514029
26,2778,610,8.099352051835854,7.704918032786885,0.2089555474099084,0.28158173164412814,0.28409530557308066,0.27993845149217955
27,2780,608,8.16546762589928,7.401315789473683,0.3661068480239484,0.3773324178986733,0.37572342376200357,0.4246475104029134
28,2781,607,8.054656598345918,7.907742998352553,0.21406045840940582,0.43532881290149306,0.41419703201736324,0.4421644466016444
29,2652,736,8.182503770739064,7.4728260869565215,0.2007549059868236,0.19145565327863706,0.19660264571231875,0.21275032519759637
30,2637,751,7.887751232461131,8.5219707057257,0.3067350970242037,0.3019363058385529,0.292979466454442,0.31125469956215907
31,2748,640,8.333333333333332,6.71875,0.26590404320488265,0.389864725003043,0.38007092750313726,0.3781100557628656
32,2692,696,8.283803863298662,7.040229885057471,0.448494832557651,0.5523512906480219,0.5552229369446973,0.5166026212931578
33,2742,646,8.096280087527353,7.739938080495357,0.2365231665453431,0.41803660447438873,0.3941709686301353,0.3714954188784899
34,2753,635,8.318198329095532,6.771653543307086,0.27073243030121363,0.42556095266556876,0.43564999199948484,0.447672046898796
35,2775,613,7.747747747747748,9.29853181076672,0.32815245111316527,0.5279749186108846,0.5479953268070666,0.5644195108132058
36,2737,651,8.293752283522105,6.912442396313365,0.1543063220365227,0.20651375939049282,0.18816575524323703,0.23480974274540128
37,2793,595,8.306480486931616,6.722689075630252,0.1554138651153464,0.20446373408546673,0.2583316938889665,0.26258628900081016
38,2750,638,7.781818181818181,9.090909090909092,0.24255578466601616,0.5148318893264697,0.5420046165622182,0.5414741277003499
39,2756,632,7.764876632801161,9.177215189873419,0.23904329856446452,0.34066929813376273,0.38338611200076783,0.3122201377838601
40,2682,706,8.389261744966444,6.6572237960339935,0.2872044364839975,0.3323628953840424,0.3676601540313968,0.34719166789557276
