split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2644,667,22.88199697428139,25.187406296851574,0.7111409788689428,0.6253101736972705,0.6027968214889365,0.5668934240362812,0.6077036650185699,0.5388349514563107,0.10343731385037291,0.08647522224095983,0.10834415738000625,0.05841674966098931
2,2673,638,22.933034044145156,25.07836990595611,0.551825465559642,0.4943181818181818,0.5145551540546921,0.4811594202898551,0.4747008317098116,0.45595854922279794,0.07712463384983037,0.038359632595383886,0.03727031150494986,0.013158761528326735
3,2729,582,23.158666178087213,24.22680412371134,0.6337298778825246,0.5355191256830601,0.6283438884570209,0.5959885386819485,0.5854011069552828,0.56973293768546,0.04832877092724175,-0.03421381200239981,0.005385989425503612,-0.060469412998888306
4,2646,665,23.809523809523807,21.503759398496243,0.6065895739354448,0.5420054200542005,0.6055058424015596,0.5185185185185185,0.5765240199910086,0.5357142857142857,0.03006555394443622,0.0062911343399147945,0.0010837315338851905,0.023486901535682003
5,2640,671,24.924242424242422,17.138599105812222,0.4898840662391668,0.5137614678899083,0.48417889065672315,0.46710526315789475,0.4605267266284566,0.45454545454545453,0.029357339610710187,0.059216013344453755,0.005705175582443656,0.04665620473201354
6,2651,660,22.632968691059975,26.212121212121215,0.633332668236368,0.5469613259668509,0.630926759154515,0.5857519788918206,0.5507542314478213,0.5352112676056338,0.0825784367885467,0.01175005836121712,0.0024059090818530082,-0.03879065292496975
7,2652,659,24.58521870286576,18.361153262518968,0.5653659068400316,0.45429362880886426,0.5404253280798695,0.47701149425287354,0.5316729779930489,0.48255813953488375,0.03369292884698272,-0.028264510726019487,0.02494057876016209,-0.022717865444009278
8,2680,631,23.507462686567166,22.66244057052298,0.6006459228128974,0.5355191256830601,0.5551407684517093,0.5207756232686981,0.5893605283391088,0.5469613259668509,0.011285394473788624,-0.011442200283790727,0.04550515436118807,0.014743502414362064
9,2718,593,23.5467255334805,22.4283305227656,0.6181641215143738,0.5316455696202531,0.5370724824035021,0.5454545454545454,0.5773557850331534,0.5255972696245734,0.0408083364812204,0.006048299995679685,0.0810916391108717,-0.013808975834292303
10,2657,654,22.318404215280392,27.522935779816514,0.6566757082274968,0.6247191011235955,0.6283397691398572,0.6147186147186147,0.6147608588817994,0.6142857142857143,0.041914849345697336,0.010433386837881198,0.02833593908763954,0.010000486404980857
11,2701,610,23.32469455757127,23.442622950819672,0.6101692205943781,0.5692695214105793,0.6241598460933673,0.5368171021377672,0.6270729550628388,0.5420054200542005,-0.016903734468460718,0.0272641013563788,-0.013990625498989218,0.03245241927281206
12,2655,656,24.708097928436914,17.835365853658537,0.3455415789149444,0.4,0.3643125564520836,0.39039039039039036,0.31601974119316384,0.36363636363636365,0.029521837721780575,0.036363636363636376,-0.01877097753713919,0.00960960960960966
13,2651,660,22.29347416069408,27.575757575757574,0.6801359088131861,0.6793349168646081,0.6931984726785273,0.649746192893401,0.6678366013212974,0.5839080459770115,0.012299307491888678,0.0954268708875966,-0.013062563865341215,0.029588723971207154
14,2666,645,24.756189047261813,17.519379844961243,0.3403805108085021,0.4088050314465409,0.3483339266631788,0.44642857142857145,0.25678306724692535,0.3945945945945946,0.08359744356157678,0.014210436851946284,-0.007953415854676682,-0.03762353998203055
15,2660,651,23.984962406015036,20.737327188940093,0.5039822908808935,0.48717948717948717,0.5019532838423484,0.4838709677419355,0.4599293371375355,0.45714285714285713,0.04405295374335805,0.03003663003663004,0.0020290070385451386,0.0033085194375516713
