feature,mean,std,median,min,max,n_splits,rank
base_ComponentEdgeNodeRatio,0.34914211423599717,0.10275003292536182,0.3337935526229438,0.1757487782165522,0.5174417171233623,15,1
stoich_MedComplexSize,0.029825909497638088,0.02300878152532282,0.025915646277469905,-0.01439539390105472,0.06803494400210566,15,2
base_ComponentSize,0.02325507126076208,0.020724074203319193,0.021708425321995968,-0.014116755335141251,0.07813425496751289,15,3
base_AvgNeighbourDegree,0.014210941973144297,0.01577463994574322,0.01506493520471941,-0.02743954119378738,0.04071524077504225,15,4
base_EigenvectorCentrality,0.01304133649295529,0.013878505732302657,0.009539566047773684,0.0007115383883501858,0.05019310009507731,15,5
protein_MedComplexNodes,0.01298408091064502,0.02547786845733233,0.003560031162485966,-0.004570928921598538,0.09278164629722734,15,6
base_TriangleCount,0.01225517992371064,0.026134378703295824,0.0076940884646502505,-0.026844410765080307,0.0868460964184818,15,7
stoich_MedianRatio,0.011304294616161155,0.019687826285360397,0.01198618685836349,-0.027707676251908352,0.04740231026673748,15,8
protein_MedianUniqueRatio,0.01125655354819857,0.022363858289558523,0.01117514115940052,-0.027371688471636568,0.056811966766422486,15,9
base_BetweennessCentrality,0.009917035553131733,0.013973591021544263,0.012784164873440185,-0.017883027958220173,0.03462200356168129,15,10
stoich_WeightedTriangles,0.008365270854076807,0.010351924910436084,0.004948731288023545,-0.00803907158638062,0.024123963175399266,15,11
protein_RangeUniqueRatio,0.006838608948195419,0.011186399515887013,0.0071580150204843375,-0.014294231556553526,0.02816534853944811,15,12
stoich_AvgNeighbourDegreeStoich,0.0024538964434991997,0.011318296850224454,0.003110882315510366,-0.02092421375490163,0.025032483985038868,15,13
stoich_RangeRatio,0.002203645985965094,0.002757903358025235,0.0012642410721143249,-0.0021150206598829547,0.007894567593923586,15,14
base_Degree,0.0017242625653481438,0.005095567696197792,-9.230302534213308e-06,-0.005451472502273802,0.014809424471997745,15,15
base_LocalClustCoeff,0.0009355281991453685,0.01223429321042855,0.004441794460025661,-0.031163782869350704,0.0152656446302951,15,16
stoich_RangeComplexSize,0.0007546373667611563,0.01662944100856578,0.004599904648751313,-0.03326969174717281,0.020036975155812042,15,17
protein_RangeComplexNodes,0.00027848731123301365,0.0037157446647573806,0.0,-0.005054375104616954,0.01173886444750416,15,18
base_UniquePartners,-0.0010068464806794535,0.0059953464445969004,-0.00022336977029069338,-0.017243479705999994,0.006963306631238309,15,19
base_KatzCentrality,-0.0012447087952586816,0.009104898186741902,-0.0014074105012846171,-0.016481846158515855,0.015867999748855555,15,20
