feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.16751958481236473,0.08262203416926053,0.16348437661340454,0.04907588495444901,0.41591255400509064,15,1
stoich_MedComplexSize,0.13832289042888946,0.06871242358934603,0.13249761356729078,0.03843729963591658,0.3400571997752223,15,2
protein_MedianUniqueRatio,0.10574591107623475,0.06824412504052452,0.09724918732097884,0.012105575522485413,0.28949685553313076,15,3
stoich_MedianRatio,0.09499885593879813,0.05985847998663046,0.084859081198784,-0.010380096194848993,0.2187994178330274,15,4
protein_MedComplexNodes,0.04171870399135681,0.033835855600286166,0.041715049062853886,-0.013141501217880014,0.11029615459145022,15,5
base_UniquePartners,0.018110879234423425,0.04266568265500254,0.012914134747227047,-0.029042748544263697,0.13569101779414483,15,6
stoich_RangeRatio,0.0007698608672990101,0.01408575376049505,0.0007421415604098091,-0.029904485496017826,0.04184326515102665,15,7
protein_RangeComplexNodes,-0.0010733631051792645,0.004172890608800559,0.0,-0.00796374536338218,0.0063971716468047505,15,8
protein_RangeUniqueRatio,-0.001198535999398718,0.022829914618926972,-0.001916317637620707,-0.03984013379062444,0.047792396238281395,15,9
stoich_RangeComplexSize,-0.0032932335059392354,0.005867264345359632,-0.001768388198772286,-0.016145201151383105,0.00238819424067645,15,10
