model,feature,mean_importance,mean_max_noise,mean_diff,cohens_d,effect_label
Pairwise,pair_Degree,0.062329,0.007889,0.05444,2.719,large
Pairwise,pair_LocalClustCoeff,0.13715,0.007889,0.12926,5.776,large
Pairwise,pair_TriangleCount,0.034004,0.007889,0.026115,2.924,large
Pairwise,pair_AvgNeighborDegree,0.059494,0.007889,0.051605,3.116,large
Hypergraph,base_Degree,0.0279,0.005744,0.022156,1.791,large
Hypergraph,base_LocalClustCoeff,0.007736,0.005744,0.001992,0.258,small
Hypergraph,base_TriangleCount,0.013159,0.005744,0.007414,0.848,large
Hypergraph,base_UniquePartners,0.002953,0.005744,-0.002791,-0.433,small
Hypergraph,base_AvgNeighbourDegree,0.008393,0.005744,0.002649,0.343,small
Hypergraph,stoich_WeightedTriangles,5.2e-05,0.005744,-0.005693,-1.324,large
Hypergraph,stoich_AvgNeighbourDegreeStoich,-0.001223,0.005744,-0.006968,-1.553,large
Hypergraph,stoich_RangeComplexSize,8.5e-05,0.005744,-0.005659,-1.303,large
Hypergraph,stoich_MedComplexSize,0.002773,0.005744,-0.002972,-0.307,small
Hypergraph,stoich_MedianRatio,0.008884,0.005744,0.00314,0.216,small
Hypergraph,stoich_RangeRatio,-0.00051,0.005744,-0.006254,-1.46,large
Hypergraph,protein_MedianUniqueRatio,0.056174,0.005744,0.05043,3.796,large
Hypergraph,protein_RangeUniqueRatio,0.017712,0.005744,0.011968,1.047,large
Hypergraph,protein_MedComplexNodes,0.041124,0.005744,0.03538,2.913,large
Hypergraph,protein_RangeComplexNodes,0.010127,0.005744,0.004383,0.564,medium
