database,group,feature,non_nan,total,coverage_pct
Complex Portal,Hypergraph,base_Degree,3394,3394,100.0
Complex Portal,Hypergraph,base_LocalClustCoeff,3394,3394,100.0
Complex Portal,Hypergraph,base_TriangleCount,3394,3394,100.0
Complex Portal,Hypergraph,base_UniquePartners,3394,3394,100.0
Complex Portal,Hypergraph,base_AvgNeighbourDegree,3394,3394,100.0
Complex Portal,Hypergraph,stoich_WeightedTriangles,3394,3394,100.0
Complex Portal,Hypergraph,stoich_AvgNeighbourDegreeStoich,3394,3394,100.0
Complex Portal,Hypergraph,stoich_RangeComplexSize,3394,3394,100.0
Complex Portal,Hypergraph,stoich_MedComplexSize,3394,3394,100.0
Complex Portal,Hypergraph,stoich_MedianRatio,3394,3394,100.0
Complex Portal,Hypergraph,stoich_RangeRatio,3394,3394,100.0
Complex Portal,Hypergraph,protein_MedianUniqueRatio,3394,3394,100.0
Complex Portal,Hypergraph,protein_RangeUniqueRatio,3394,3394,100.0
Complex Portal,Hypergraph,protein_MedComplexNodes,3394,3394,100.0
Complex Portal,Hypergraph,protein_RangeComplexNodes,3394,3394,100.0
Complex Portal,Pairwise,pair_Degree,3394,3394,100.0
Complex Portal,Pairwise,pair_LocalClustCoeff,3394,3394,100.0
Complex Portal,Pairwise,pair_TriangleCount,3394,3394,100.0
Complex Portal,Pairwise,pair_AvgNeighborDegree,3394,3394,100.0
CORUM,Hypergraph,base_Degree,5132,5132,100.0
CORUM,Hypergraph,base_LocalClustCoeff,5132,5132,100.0
CORUM,Hypergraph,base_TriangleCount,5132,5132,100.0
CORUM,Hypergraph,base_UniquePartners,5132,5132,100.0
CORUM,Hypergraph,base_AvgNeighbourDegree,5132,5132,100.0
CORUM,Hypergraph,stoich_WeightedTriangles,5132,5132,100.0
CORUM,Hypergraph,stoich_AvgNeighbourDegreeStoich,5132,5132,100.0
CORUM,Hypergraph,stoich_RangeComplexSize,5132,5132,100.0
CORUM,Hypergraph,stoich_MedComplexSize,5132,5132,100.0
CORUM,Hypergraph,stoich_MedianRatio,5132,5132,100.0
CORUM,Hypergraph,stoich_RangeRatio,5132,5132,100.0
CORUM,Hypergraph,protein_MedianUniqueRatio,5132,5132,100.0
CORUM,Hypergraph,protein_RangeUniqueRatio,5132,5132,100.0
CORUM,Hypergraph,protein_MedComplexNodes,5132,5132,100.0
CORUM,Hypergraph,protein_RangeComplexNodes,5132,5132,100.0
CORUM,Pairwise,pair_Degree,5132,5132,100.0
CORUM,Pairwise,pair_LocalClustCoeff,5132,5132,100.0
CORUM,Pairwise,pair_TriangleCount,5132,5132,100.0
CORUM,Pairwise,pair_AvgNeighborDegree,5132,5132,100.0
