split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,4166,966,12.049927988478156,11.904761904761903,0.45474558238100504,0.4045584045584046,0.19984087160885228,0.24864864864864866,0.25490471077215276,0.15590975590975592
2,4163,969,11.69829449915926,13.415892672858618,0.5126863273813111,0.46632124352331605,0.23318348026190616,0.25052192066805845,0.279502847119405,0.2157993228552576
3,4099,1033,11.880946572334716,12.584704743465633,0.47366910457724837,0.44501278772378516,0.1992224901673998,0.20964360587002095,0.2744466144098486,0.2353691818537642
4,4143,989,12.044412261646151,11.93124368048534,0.4434737326605762,0.45222929936305734,0.18220774116997676,0.24263431542461006,0.2612659914905995,0.20959498393844728
5,4041,1091,12.3484286067805,10.81576535288726,0.3575488450142036,0.34890965732087226,0.1380718128860143,0.1983739837398374,0.21947703212818928,0.15053567358103487
6,4204,928,12.25023786869648,10.991379310344827,0.41480852910468374,0.39444444444444443,0.2383340355765726,0.26305609284332687,0.17647449352811115,0.13138835160111756
7,4035,1097,11.722428748451055,13.126709206927986,0.43455315901261926,0.40625,0.19431137503873067,0.225,0.2402417839738886,0.18125
8,4228,904,11.825922421948912,12.942477876106196,0.48947753173878206,0.4281984334203655,0.20191001690751056,0.25621414913957935,0.2875675148312715,0.17198428428078616
9,4142,990,11.685176243360695,13.434343434343434,0.5200339033838749,0.42727272727272725,0.19028802820104546,0.23063063063063063,0.32974587518282944,0.19664209664209661
10,4009,1123,12.297331005238215,11.041852181656278,0.36669840974759743,0.35933806146572106,0.17491126454317998,0.22611464968152867,0.19178714520441745,0.1332234117841924
11,4129,1003,11.697747638653427,13.359920239282152,0.48417171727427405,0.44155844155844154,0.1747479290737897,0.23389830508474577,0.30942378820048433,0.20766013647369577
12,4006,1126,12.38142785821268,10.74600355239787,0.4492655942734967,0.4065040650406504,0.2098056484426469,0.23801652892561984,0.2394599458308498,0.16848753611503056
13,4222,910,12.12695405021317,11.538461538461538,0.4933318188213942,0.4146981627296588,0.14071458392019404,0.2151394422310757,0.35261723490120017,0.19955872049858311
14,4159,973,11.974032219283481,12.23021582733813,0.43268813155319735,0.4114583333333333,0.1456289182003947,0.21023513139695713,0.28705921335280266,0.2012232019363762
15,4173,959,12.341241313203929,10.636079249217936,0.432966682292026,0.42011834319526625,0.16891319229677831,0.23238095238095238,0.2640534899952477,0.18773739081431387
