split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,4166,966,12.049927988478156,11.904761904761903,0.44852225680580227,0.40804597701149425,0.2049725404177077,0.2509090909090909,0.24354971638809456,0.15713688610240334
2,4163,969,11.69829449915926,13.415892672858618,0.5587396226341117,0.4691358024691358,0.2555014355319241,0.29365079365079366,0.3032381871021876,0.17548500881834211
3,4099,1033,11.880946572334716,12.584704743465633,0.47855758668110354,0.44611528822055135,0.21402593160236305,0.24781849912739964,0.2645316550787405,0.1982967890931517
4,4143,989,12.044412261646151,11.93124368048534,0.43750186214880993,0.42729970326409494,0.18529257453911413,0.24113475177304963,0.2522092876096958,0.1861649514910453
5,4041,1091,12.3484286067805,10.81576535288726,0.37115505195615545,0.3659305993690852,0.13925796970524656,0.20299500831946754,0.23189708225090888,0.16293559104961763
6,4204,928,12.25023786869648,10.991379310344827,0.4165084838702632,0.3989071038251366,0.23756242637903463,0.2625482625482625,0.17894605749122855,0.1363588412768741
7,4035,1097,11.722428748451055,13.126709206927986,0.4252660313559287,0.4125560538116592,0.204627926980789,0.22418136020151133,0.22063810437513973,0.1883746936101479
8,4228,904,11.825922421948912,12.942477876106196,0.4665094948503108,0.4393063583815029,0.21128105799363284,0.2558139534883721,0.25522843685667795,0.1834924048931308
9,4142,990,11.685176243360695,13.434343434343434,0.49667891663955976,0.43333333333333335,0.20157061744705645,0.23063063063063063,0.2951082991925033,0.20270270270270271
10,4009,1123,12.297331005238215,11.041852181656278,0.39121523241815825,0.3789954337899543,0.17939362184731256,0.22664624808575803,0.2118216105708457,0.15234918570419628
11,4129,1003,11.697747638653427,13.359920239282152,0.49510578519048115,0.4533333333333333,0.1792282771646176,0.23469387755102042,0.31587750802586356,0.2186394557823129
12,4006,1126,12.38142785821268,10.74600355239787,0.44403938616418714,0.39378238341968913,0.21541255601273074,0.24190800681431004,0.2286268301514564,0.15187437660537909
13,4222,910,12.12695405021317,11.538461538461538,0.4732754909492953,0.4306784660766962,0.140983900691049,0.22131147540983606,0.3322915902582463,0.20936699066686013
14,4159,973,11.974032219283481,12.23021582733813,0.43608095952517895,0.42744063324538256,0.14532958278027353,0.2085048010973937,0.2907513767449054,0.21893583214798887
15,4173,959,12.341241313203929,10.636079249217936,0.43867891080453003,0.42729970326409494,0.17970198809603855,0.23416506717850288,0.2589769227084915,0.19313463608559206
