split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,4166,966,11.71387421987518,10.766045548654244,0.4768855161799709,0.4106666666666667,0.3874172377424008,0.37373737373737376,0.0894682784375701,0.03692929292929292
2,4163,969,11.289935142925774,12.59029927760578,0.49238158697327034,0.36923076923076925,0.3834063679056029,0.35728952772073924,0.10897521906766744,0.01194124151003001
3,4099,1033,11.441815076848012,11.907066795740562,0.43882910395262253,0.4116222760290557,0.30180300019444845,0.4049586776859504,0.1370261037581741,0.006663598343105315
4,4143,989,11.706492879555878,10.819009100101113,0.43181624780509414,0.39603960396039606,0.2906706464382857,0.3422680412371134,0.14114560136680843,0.05377156272328265
5,4180,952,11.602870813397129,11.239495798319329,0.40934647262747026,0.3958333333333333,0.29282504949682764,0.3431151241534989,0.11652142313064262,0.05271820917983444
6,4134,998,11.344944363812289,12.324649298597194,0.515803879847604,0.424390243902439,0.4153728620472156,0.43915343915343913,0.10043101780038843,-0.014763195251000116
7,4011,1121,11.518324607329843,11.59678858162355,0.45430538204448895,0.37656903765690375,0.33125961514024976,0.3559322033898305,0.12304576690423918,0.020636834267073245
8,4228,904,11.258278145695364,12.831858407079647,0.4415699334798663,0.41954022988505746,0.365111367539077,0.428169014084507,0.07645856594078926,-0.008628784199449568
9,4142,990,11.22646064703042,12.828282828282827,0.42831033697869586,0.4146341463414634,0.3434704782381121,0.3938053097345133,0.08483985874058375,0.02082883660695012
10,4140,992,11.76328502415459,10.58467741935484,0.47562072891339036,0.42048517520215634,0.3347429256237593,0.3700234192037471,0.14087780328963107,0.05046175599840924
11,4129,1003,11.213368854444175,12.861415752741776,0.4324751601427558,0.41150442477876104,0.328411499781301,0.39918533604887985,0.10406366036145476,0.012319088729881189
12,4106,1026,11.203117389186556,12.865497076023392,0.44511168693580433,0.4053452115812918,0.44952851354685763,0.40559440559440557,-0.004416826611053304,-0.00024919401311379596
13,4222,910,11.819043107531975,10.219780219780219,0.4875325651721901,0.35135135135135137,0.3343597767809416,0.304,0.15317278839124854,0.04735135135135138
14,4118,1014,11.874696454589607,10.157790927021697,0.5029276243589654,0.3741648106904232,0.371000129057488,0.35714285714285715,0.1319274953014774,0.017021953547566027
15,4173,959,11.622334052240594,11.157455683003128,0.4347274524259677,0.4090909090909091,0.31146695555176296,0.3627906976744186,0.12326049687420476,0.04630021141649049
