split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2624,687,22.713414634146343,25.76419213973799,0.6227726264726595,0.555,0.644709273300428,0.628099173553719,-0.021936646827768524,-0.07309917355371898
2,2614,697,23.756694720734505,21.8077474892396,0.3877570895716252,0.48863636363636365,0.47413707027150565,0.5467625899280576,-0.08637998069988045,-0.05812622629169395
3,2629,682,22.97451502472423,24.780058651026394,0.7144419966598545,0.6328502415458938,0.5376835072870244,0.42613636363636365,0.17675848937283012,0.2067138779095301
4,2669,642,23.192206819033345,23.98753894080997,0.6196304595217779,0.573394495412844,0.5974345323438476,0.5621621621621622,0.022195927177930286,0.011232333250681847
5,2671,640,23.24971920628978,23.75,0.5717130187777504,0.5,0.534073768090856,0.4986737400530504,0.03763925068689433,0.0013262599469496261
6,2586,725,22.892498066511987,24.96551724137931,0.5705175914812195,0.5611814345991561,0.5742073586654943,0.5848563968668408,-0.003689767184274828,-0.02367496226768462
7,2651,660,23.236514522821576,23.78787878787879,0.6422608147246569,0.4864864864864865,0.4082980656474693,0.33962264150943394,0.23396274907718762,0.14686384497705257
8,2622,689,23.64607170099161,22.206095791001452,0.6363952543306766,0.5407925407925408,0.6105854197301517,0.5728643216080402,0.025809834600524884,-0.03207178081549944
9,2585,726,24.10058027079304,20.66115702479339,0.4618076977236007,0.46405228758169936,0.4621532618556829,0.4804804804804805,-0.00034556413208219894,-0.016428192898781113
10,2608,703,23.159509202453986,24.039829302987197,0.5317085720198211,0.5518763796909493,0.5246588183936892,0.5354691075514875,0.007049753626131916,0.016407272139461804
11,2653,658,22.72898605352431,25.835866261398177,0.49881965053712995,0.4117647058823529,0.5137019199656194,0.5405405405405406,-0.01488226942848947,-0.12877583465818765
12,2623,688,23.82767823103317,21.511627906976745,0.4918158266352476,0.4942528735632184,0.4460539316080236,0.4727272727272727,0.045761895027224,0.02152560083594568
13,2683,628,22.922102124487516,25.159235668789808,0.5642064489168133,0.5772727272727273,0.5535187368531707,0.547550432276657,0.010687712063642607,0.029722294996070264
14,2618,693,23.682200152788386,22.07792207792208,0.49011690706383154,0.47058823529411764,0.48797195255046266,0.43380281690140843,0.0021449545133688797,0.03678541839270921
15,2625,686,23.00952380952381,24.635568513119534,0.5962347687908327,0.5803571428571429,0.6157127987715296,0.5467625899280576,-0.01947802998069692,0.03359455292908531
