split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2693,701,6.349795766802822,5.1355206847360915,0.30176533669696703,0.35443037974683544,0.2670693691865058,0.3111111111111111,0.1570047900116978,0.1791044776119403,0.14476054668526925,0.17532590213489516,0.03469596751046122,0.04331926863572433
2,2714,680,6.079587324981577,6.176470588235294,0.3475257571295054,0.33,0.28180689910351736,0.32608695652173914,0.219500131971437,0.27380952380952384,0.1280256251580684,0.05619047619047618,0.06571885802598804,0.00391304347826088
3,2677,717,5.902129249159507,6.834030683403068,0.39043272633030207,0.31840796019900497,0.3033524299627561,0.31088082901554404,0.23604228716991132,0.19900497512437812,0.15439043916039075,0.11940298507462685,0.087080296367546,0.007527131183460933
4,2722,672,5.731080088170462,7.5892857142857135,0.22472938502128012,0.3181818181818182,0.220694802863181,0.36363636363636365,0.20091710933091605,0.21311475409836064,0.023812275690364065,0.10506706408345753,0.004034582158099126,-0.04545454545454547
5,2736,658,6.286549707602338,5.319148936170213,0.27965921916953373,0.3076923076923077,0.20906849834768398,0.2692307692307692,0.23935166803535415,0.23715415019762845,0.04030755113417958,0.07053815749467926,0.07059072082184975,0.03846153846153849
6,2688,706,6.026785714285714,6.373937677053824,0.3972843484487135,0.3350253807106599,0.25959752597521396,0.3188405797101449,0.2435249470773437,0.23893805309734514,0.1537594013713698,0.09608732761331476,0.13768682247349956,0.016184801000515003
7,2680,714,6.4179104477611935,4.901960784313726,0.2058204756876228,0.27941176470588236,0.22483092432923,0.2978723404255319,0.22583253717325483,0.19444444444444445,-0.020012061485632032,0.08496732026143791,-0.019010448641607197,-0.01846057571964954
8,2660,734,6.165413533834586,5.858310626702997,0.2814212404529864,0.2608695652173913,0.20415965150683282,0.25120772946859904,0.2036199509203363,0.22568093385214008,0.07780128953265009,0.035188631365251216,0.07726158894615356,0.009661835748792258
9,2636,758,5.690440060698028,7.519788918205805,0.24327326009738856,0.3048780487804878,0.22982242295201766,0.30666666666666664,0.19622949238072954,0.2084942084942085,0.047043767716659024,0.0963838402862793,0.013450837145370903,-0.0017886178861788449
10,2679,715,5.785740948114968,7.2727272727272725,0.3054886236144677,0.36257309941520466,0.3058338922980863,0.3595505617977528,0.29985147924690997,0.36923076923076925,0.005637144367557745,-0.006657669815564593,-0.00034526868361856033,0.0030225376174518592
11,2729,665,6.375961890802492,4.962406015037594,0.3489501538409179,0.26,0.24220168386291152,0.2781456953642384,0.17327356695387586,0.14965986394557823,0.17567658688704202,0.11034013605442178,0.10674846997800636,-0.01814569536423838
12,2768,626,6.430635838150289,4.63258785942492,0.2645072516031379,0.2463768115942029,0.24207251346820652,0.2905982905982906,0.16826114419078703,0.20118343195266272,0.0962461074123509,0.04519337964154019,0.02243473813493141,-0.04422147900408771
13,2755,639,6.02540834845735,6.416275430359937,0.410396010315044,0.36129032258064514,0.36283483665522964,0.32954545454545453,0.2676577008175716,0.25471698113207547,0.1427383094974724,0.10657334144856967,0.04756117365981438,0.03174486803519061
14,2690,704,6.20817843866171,5.681818181818182,0.3452707096159597,0.24858757062146894,0.2527299401163606,0.2894736842105263,0.20890251014205335,0.19658119658119658,0.13636819947390633,0.05200637404027236,0.09254076949959911,-0.04088611358905739
15,2717,677,6.404122193595878,4.874446085672083,0.2857126669755614,0.3170731707317073,0.3377463770871248,0.2937062937062937,0.17455808409570645,0.21333333333333335,0.11115458287985497,0.10373983739837397,-0.05203371011156338,0.023366877025413624
