split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2726,668,7.8870139398385914,8.532934131736528,0.4852591769680304,0.35,0.3557656974032586,0.3024054982817869,0.1294934795647718,0.047594501718213056
2,2686,708,8.302308265078183,6.9209039548022595,0.37392962479452163,0.31336405529953915,0.26747647781160855,0.24605678233438485,0.10645314698291308,0.06730727296515429
3,2718,676,7.72626931567329,9.171597633136095,0.45716860428138434,0.3726235741444867,0.32756635937029915,0.33217993079584773,0.12960224491108518,0.04044364334863898
4,2722,672,7.861866274797942,8.630952380952381,0.32654184865792263,0.3416666666666667,0.2836473407068161,0.2709677419354839,0.04289450795110655,0.07069892473118278
5,2736,658,7.931286549707603,8.358662613981762,0.4404059922954479,0.36363636363636365,0.37918555220540634,0.26625386996904027,0.06122044009004157,0.09738249366732338
6,2688,706,7.886904761904762,8.498583569405099,0.5232872763851413,0.45643153526970953,0.3043368637481193,0.3448275862068966,0.21895041263702197,0.11160394906281296
7,2720,674,8.38235294117647,6.528189910979229,0.3932176311753951,0.32941176470588235,0.18268944534172912,0.26956521739130435,0.21052818583366598,0.059846547314578
8,2660,734,8.157894736842106,7.493188010899182,0.5280839743763933,0.37209302325581395,0.3004555446390445,0.2847222222222222,0.22762842973734881,0.08737080103359174
9,2680,714,8.171641791044776,7.42296918767507,0.47384612024441286,0.2906574394463668,0.3288198898019301,0.2345679012345679,0.14502623044248275,0.056089538211798906
10,2679,715,7.950727883538635,8.251748251748252,0.35112617389147843,0.3652173913043478,0.29549406783155896,0.31186440677966104,0.05563210605991947,0.053352984524686786
11,2729,665,8.098204470502015,7.669172932330827,0.3279478294177119,0.3263598326359833,0.18149682974509723,0.2765957446808511,0.14645099967261466,0.04976408795513221
12,2768,626,8.164739884393063,7.348242811501597,0.3481101869218975,0.22549019607843138,0.2611616349015116,0.22624434389140272,0.08694855202038587,-0.0007541478129713397
13,2769,625,8.16179126038281,7.359999999999999,0.4174199819867148,0.321285140562249,0.1544128845649119,0.25984251968503935,0.26300709742180295,0.06144262087720964
14,2690,704,8.141263940520446,7.528409090909091,0.3496488057807836,0.28112449799196787,0.18467068554724048,0.25680933852140075,0.16497812023354314,0.024315159470567116
15,2717,677,8.023555391976444,7.976366322008863,0.5153146869037578,0.4019607843137255,0.287075748916848,0.2882882882882883,0.2282389379869098,0.11367249602543722
