split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2726,668,7.8870139398385914,8.532934131736528,0.3660393879650061,0.2756183745583039,0.09740133468979413,0.17408123791102514,0.268638053275212,0.10153713664727876
2,2686,708,8.302308265078183,6.9209039548022595,0.32210462185488775,0.26229508196721313,0.12752219839526302,0.18984547461368653,0.19458242345962473,0.0724496073535266
3,2718,676,7.72626931567329,9.171597633136095,0.455039638152545,0.302158273381295,0.12334601304214726,0.21265822784810126,0.33169362511039774,0.08950004553319371
4,2722,672,7.861866274797942,8.630952380952381,0.2715202336483445,0.30687830687830686,0.1048753095094412,0.15873015873015872,0.1666449241389033,0.14814814814814814
5,2736,658,7.931286549707603,8.358662613981762,0.43771742836362654,0.3047619047619048,0.11947969064003996,0.18811881188118812,0.31823773772358654,0.11664309288071667
6,2688,706,7.886904761904762,8.498583569405099,0.3102948056000866,0.2731707317073171,0.10884699730357944,0.19114219114219114,0.20144780829650716,0.08202854056512596
7,2720,674,8.38235294117647,6.528189910979229,0.31371880957534176,0.26126126126126126,0.10781781938885983,0.19584569732937684,0.20590099018648195,0.06541556393188441
8,2660,734,8.157894736842106,7.493188010899182,0.3941289541552057,0.2746268656716418,0.10634636900123266,0.16312056737588654,0.28778258515397304,0.11150629829575526
9,2680,714,8.171641791044776,7.42296918767507,0.41528912744347896,0.27631578947368424,0.09259803109981542,0.14634146341463414,0.32269109634366355,0.1299743260590501
10,2679,715,7.950727883538635,8.251748251748252,0.2807744055387763,0.3615819209039548,0.15423403040288367,0.2235294117647059,0.12654037513589264,0.1380525091392489
11,2729,665,8.098204470502015,7.669172932330827,0.35177723462062926,0.26548672566371684,0.10663667633221818,0.1864406779661017,0.24514055828841108,0.07904604769761514
12,2768,626,8.164739884393063,7.348242811501597,0.27357388571417696,0.24390243902439024,0.07515236816054027,0.12087912087912088,0.19842151755363668,0.12302331814526936
13,2769,625,8.16179126038281,7.359999999999999,0.3991933095705259,0.3670886075949367,0.1251232192507892,0.16580310880829016,0.2740700903197367,0.20128549878664656
14,2690,704,8.141263940520446,7.528409090909091,0.32307342847415327,0.2077922077922078,0.08133254044226645,0.13043478260869565,0.2417408880318868,0.07735742518351216
15,2717,677,8.023555391976444,7.976366322008863,0.44687642581610065,0.34108527131782945,0.1412539580200214,0.16923076923076924,0.30562246779607927,0.1718545020870602
