split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2624,687,22.713414634146343,25.76419213973799,0.6591936475229627,0.5922077922077922,0.6004946438268269,0.5793450881612091,0.05869900369613579,0.012862704046583073
2,2614,697,23.756694720734505,21.8077474892396,0.4403668898001568,0.5231607629427792,0.4411605604520415,0.5080091533180778,-0.0007936706518846814,0.015151609624701412
3,2629,682,22.97451502472423,24.780058651026394,0.675491928894791,0.589041095890411,0.5965334411080429,0.5477178423236515,0.07895848778674819,0.04132325356675948
4,2669,642,23.192206819033345,23.98753894080997,0.6012982166039285,0.5603864734299517,0.5781860294940445,0.56,0.02311218710988394,0.00038647342995168366
5,2671,640,23.24971920628978,23.75,0.6182368664484524,0.5583756345177665,0.5294304783611063,0.4659090909090909,0.08880638808734609,0.09246654360867562
6,2586,725,22.892498066511987,24.96551724137931,0.5824947881649813,0.5847457627118644,0.5258423071180279,0.5620608899297423,0.05665248104695342,0.022684872782122056
7,2651,660,23.236514522821576,23.78787878787879,0.5950675862282542,0.5333333333333333,0.6513564993029912,0.5897435897435898,-0.056288913074737046,-0.05641025641025643
8,2622,689,23.64607170099161,22.206095791001452,0.6625996885566953,0.5463182897862233,0.5759031229204896,0.5487179487179488,0.08669656563620565,-0.0023996589317254458
9,2585,726,24.10058027079304,20.66115702479339,0.4654486400856101,0.5,0.44584890617624817,0.4797687861271676,0.019599733909361927,0.020231213872832388
10,2608,703,23.159509202453986,24.039829302987197,0.5040623200193683,0.510158013544018,0.5698989401028208,0.491869918699187,-0.06583662008345248,0.018288094844831015
11,2653,658,22.72898605352431,25.835866261398177,0.5595910700033748,0.5372340425531915,0.5745733928127353,0.6,-0.014982322809360515,-0.06276595744680846
12,2623,688,23.82767823103317,21.511627906976745,0.48565335294588213,0.4744897959183674,0.43893657466802055,0.4461942257217848,0.04671677827786158,0.028295570196582576
13,2683,628,22.922102124487516,25.159235668789808,0.6196489114507309,0.5601965601965602,0.5974756283762944,0.5882352941176471,0.022173283074436445,-0.02803873392108691
14,2618,693,23.682200152788386,22.07792207792208,0.5704273005179628,0.5526315789473685,0.5232366986046503,0.5099009900990099,0.04719060191331248,0.042730588848358564
15,2625,686,23.00952380952381,24.635568513119534,0.6089097747082038,0.5707656612529002,0.5958258625202995,0.5179282868525896,0.01308391218790439,0.052837374400310555
