split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2624,687,22.713414634146343,25.76419213973799,0.6052695118957527,0.5449275362318841,0.5897978865289244,0.5588235294117647,0.5128684609676034,0.5346062052505967,0.09240105092814932,0.010321330981287402,0.015471625366828334,-0.013895993179880661
2,2614,697,23.756694720734505,21.8077474892396,0.41647793301899405,0.4897959183673469,0.41826968809437104,0.5097087378640777,0.517701846643852,0.4581497797356828,-0.10122391362485794,0.0316461386316641,-0.0017917550753769884,-0.019912819496730738
3,2629,682,22.97451502472423,24.780058651026394,0.6001367535420388,0.5695364238410596,0.5990201855314662,0.55125284738041,0.5472377185420859,0.5483870967741935,0.052899034999952854,0.02114932706686612,0.0011165680105725828,0.018283576460649598
4,2669,642,23.192206819033345,23.98753894080997,0.571439328279944,0.5149051490514905,0.5589057512145618,0.5318559556786704,0.44586513726183674,0.4876712328767123,0.1255741910181073,0.027233916174778217,0.012533577065382273,-0.01695080662717985
5,2671,640,23.24971920628978,23.75,0.540907052047367,0.5330073349633252,0.5321084454939999,0.5278450363196125,0.49995404135841415,0.49014084507042255,0.04095301068895285,0.04286648989290265,0.008798606553367061,0.005162298643712648
6,2586,725,22.892498066511987,24.96551724137931,0.5617239600926455,0.5677966101694916,0.551752633083558,0.5510204081632653,0.5489939651203821,0.5339578454332553,0.012729994972263348,0.03383876473623626,0.009971327009087427,0.016776202006226315
7,2651,660,23.236514522821576,23.78787878787879,0.44672968448880646,0.5124716553287982,0.45112690884167317,0.5167037861915368,0.4188944426160273,0.5083135391923991,0.027835241872779137,0.004158116136399159,-0.004397224352866713,-0.004232130862738548
8,2622,689,23.64607170099161,22.206095791001452,0.5884333727086446,0.5454545454545454,0.5604763391332681,0.5060240963855421,0.5062111947850454,0.49066666666666664,0.0822221779235992,0.054787878787878774,0.02795703357537649,0.03943044906900328
9,2585,726,24.10058027079304,20.66115702479339,0.4363418850164995,0.4585987261146497,0.42623209743568996,0.4946808510638298,0.42117602047405356,0.4376470588235294,0.01516586454244595,0.0209516672911203,0.010109787580809548,-0.03608212494918012
10,2608,703,23.159509202453986,24.039829302987197,0.5085070139720554,0.5086206896551724,0.4886172606368879,0.5032258064516129,0.43117743324533025,0.49122807017543857,0.07732958072672519,0.017392619479733806,0.01988975333516757,0.0053948832035595196
11,2653,658,22.72898605352431,25.835866261398177,0.5776860380824538,0.5620608899297423,0.5854783634737623,0.5627906976744186,0.4966469477095672,0.5158150851581509,0.08103909037288659,0.04624580477159146,-0.0077923253913084745,-0.0007298077446762363
12,2623,688,23.82767823103317,21.511627906976745,0.4593804169500477,0.44655581947743467,0.4111546319643676,0.45977011494252873,0.36496800463308166,0.3421828908554572,0.09441241231696607,0.10437292862197745,0.04822578498568014,-0.013214295465094061
13,2683,628,22.922102124487516,25.159235668789808,0.5645621717260986,0.5388127853881278,0.5592291978924125,0.5284738041002278,0.5511680198464143,0.518918918918919,0.01339415187968429,0.019893866469208876,0.005332973833686028,0.010338981287900006
14,2618,693,23.682200152788386,22.07792207792208,0.5280977128454636,0.5120772946859904,0.5340268700125048,0.5225653206650831,0.47379700150506304,0.45408163265306123,0.05430071134040054,0.05799566203292916,-0.005929157167041232,-0.010488025979092708
15,2625,686,23.00952380952381,24.635568513119534,0.6004520052580716,0.5145067698259188,0.5955341229035668,0.5145067698259188,0.4083053285748681,0.508,0.1921466766832035,0.006506769825918801,0.0049178823545048544,0.0
