split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2658,622,23.702031602708804,23.15112540192926,0.49687150534844143,0.5504087193460491,0.4526538003327872,0.4600484261501211,0.04421770501565425,0.09036029319592798
2,2699,581,23.786587625046312,22.719449225473323,0.4776833672496822,0.5049833887043189,0.4490140148218666,0.4524590163934426,0.028669352427815598,0.05252437231087631
3,2628,652,24.162861491628615,21.319018404907975,0.368532328360076,0.3879093198992443,0.29671094045765634,0.4029126213592233,0.07182138790241965,-0.015003301459978968
4,2682,598,23.228933631618194,25.25083612040134,0.5615106390274424,0.5543478260869565,0.5110235292551959,0.5093833780160858,0.05048710977224646,0.044964448070870744
5,2663,617,23.019151333082988,26.094003241491087,0.5477529954842464,0.6363636363636364,0.547044919291937,0.4804804804804805,0.0007080761923093926,0.15588315588315588
6,2639,641,23.83478590375142,22.620904836193446,0.5413332062968277,0.5421994884910486,0.48596468623456623,0.49865951742627346,0.05536852006226145,0.04353997106477514
7,2654,626,23.62471740768651,23.482428115015974,0.48441839573085255,0.4791666666666667,0.4941295496955243,0.4826086956521739,-0.00971115396467176,-0.0034420289855072173
8,2661,619,23.900789177001126,22.294022617124394,0.6276438772898913,0.5169230769230769,0.5164080876778984,0.4161490683229814,0.11123578961199299,0.10077400860009555
9,2651,629,23.802338740098076,22.73449920508744,0.5037510009588805,0.49162011173184356,0.46958700498970973,0.5027932960893855,0.034163995969170746,-0.011173184357541943
10,2638,642,23.692191053828658,23.20872274143302,0.5607165420402345,0.5227817745803357,0.5572369739853767,0.5297297297297298,0.003479568054857718,-0.006947955149394058
11,2677,603,23.870003735524843,22.388059701492537,0.4529911846537178,0.48021108179419525,0.43864810197554915,0.4827586206896552,0.01434308267816864,-0.0025475388954599443
12,2639,641,23.5695339143615,23.712948517940717,0.5359743773743022,0.5320665083135392,0.5374403852784431,0.5346062052505967,-0.0014660079041408647,-0.0025396969370574674
13,2693,587,23.57965094689937,23.679727427597953,0.5613369271353891,0.5314285714285715,0.534564873013897,0.5136612021857924,0.026772054121492084,0.017767369242779107
14,2642,638,24.186222558667676,21.15987460815047,0.5694630623897492,0.5637982195845698,0.5079238379166664,0.5074626865671642,0.0615392244730828,0.05633553301740557
15,2668,612,24.10044977511244,21.405228758169933,0.6494784842540962,0.5555555555555556,0.5655461052031832,0.56875,0.083932379050913,-0.013194444444444398
