feature,statistic,pvalue,significant,pvalue_corrected
base_LocalClustCoeff,-0.25039038845028017,0.8022854618399173,False,1.0
stoich_AvgNeighbourDegreeStoich,-1.2962800441455848,0.1948790212241036,False,1.0
base_BetweennessCentrality,3.223166551883277,0.001267818131677645,True,0.025356362633552898
stoich_RangeRatio,3.310383113002275,0.0009316835534150164,True,0.018633671068300328
base_Degree,4.055903143695738,4.994095271398235e-05,True,0.000998819054279647
stoich_RangeComplexSize,4.879636597023631,1.0628149175370426e-06,True,2.1256298350740853e-05
protein_RangeUniqueRatio,5.12609482713817,2.958136573511095e-07,True,5.916273147022189e-06
base_AvgNeighbourDegree,-5.143757308842978,2.692973804563496e-07,True,5.385947609126992e-06
stoich_MedComplexSize,6.005995831775514,1.9016107644314473e-09,True,3.8032215288628943e-08
protein_RangeComplexNodes,6.908200554186083,4.9083975200553725e-12,True,9.816795040110745e-11
stoich_MedianRatio,-8.653348290318826,5.001010763410318e-18,True,1.0002021526820637e-16
base_EigenvectorCentrality,9.032683390095814,1.675127789287892e-19,True,3.350255578575784e-18
base_KatzCentrality,9.12507836738374,7.168437641141786e-20,True,1.4336875282283572e-18
base_ComponentSize,9.754159239490395,1.770617021823374e-22,True,3.541234043646748e-21
base_ComponentEdgeNodeRatio,-10.845687716525132,2.0905763680245873e-27,True,4.181152736049175e-26
stoich_WeightedTriangles,11.584331841932052,4.9480975208613285e-31,True,9.896195041722657e-30
protein_MedianUniqueRatio,-18.455273584346678,4.7296407216862556e-76,True,9.45928144337251e-75
base_UniquePartners,18.716987729315733,3.599392664681016e-78,True,7.198785329362032e-77
protein_MedComplexNodes,18.869009697760404,2.051061380759036e-79,True,4.1021227615180724e-78
base_TriangleCount,18.946771889110405,4.695166047700069e-80,True,9.390332095400138e-79
