uniprot_id,group_id,representative
A0A5B9,grp_0612,Q9NPA0
A0AVF1,grp_1441,P60006
A0JLT2,grp_0000,A0JLT2
A0M8Q6,grp_0001,A0M8Q6
A1L190,grp_0002,A1L190
A2RRP1,grp_0003,A2RRP1
A4GXA9,grp_0004,A4GXA9
A5D8V6,grp_1131,Q96EV8
A5D8V7,grp_0005,A5D8V7
A5LHX3,grp_0006,A5LHX3
A5PLN9,grp_1359,P48740
A5X5Y0,grp_0276,P02708
A5YKK6,grp_0007,A5YKK6
A6H8Y1,grp_0008,A6H8Y1
A6NGQ2,grp_0009,A6NGQ2
A6NHQ4,grp_0010,A6NHQ4
A6NHX0,grp_1024,Q8WTX7
A7MCY6,grp_1177,Q96S94
A8K0Z3,grp_0873,Q6VEQ5
A8MT69,grp_0011,A8MT69
A8MTZ0,grp_0012,A8MTZ0
A8MW99,grp_0013,A8MW99
A8MWX3,grp_0873,Q6VEQ5
A8MZ26,grp_0215,O94979
A9QM74,grp_1320,P40692
A9UHW6,grp_0115,O43432
B1AL88,grp_0488,Q9UQD0
B7Z8K6,grp_0014,B7Z8K6
C4AMC7,grp_0873,Q6VEQ5
C9JR72,grp_1786,Q9NVX7
D6RGH6,grp_0015,D6RGH6
E9PQX1,grp_0016,E9PQX1
K9M1U5,grp_0333,P09693
L0R819,grp_0017,L0R819
O00148,grp_0018,O00148
O00159,grp_0019,O00159
O00168,grp_0020,O00168
O00187,grp_0021,O00187
O00189,grp_0022,O00189
O00203,grp_0851,Q6P9B9
O00206,grp_0023,O00206
O00217,grp_0024,O00217
O00219,grp_1072,Q92819
O00231,grp_0025,O00231
O00232,grp_0025,O00231
O00255,grp_0027,O00255
O00257,grp_0028,O00257
O00258,grp_0125,O43681
O00267,grp_1388,P51114
O00268,grp_0029,O00268
O00273,grp_0030,O00273
O00287,grp_0031,O00287
O00300,grp_0122,O43557
O00303,grp_0032,O00303
O00305,grp_0033,O00305
O00327,grp_1261,P27540
O00329,grp_0034,O00329
O00330,grp_0035,O00330
O00339,grp_0036,O00339
O00411,grp_0037,O00411
O00422,grp_0038,O00422
O00444,grp_0039,O00444
O00459,grp_0040,O00459
O00463,grp_0041,O00463
O00471,grp_0851,Q6P9B9
O00472,grp_0042,O00472
O00483,grp_0043,O00483
O00487,grp_0025,O00231
O00499,grp_0045,O00499
O00505,grp_1320,P40692
O00522,grp_0822,Q641Q2
O00541,grp_0671,Q14137
O00560,grp_0290,P04921
O00566,grp_0047,O00566
O00567,grp_0047,O00566
O00602,grp_0727,Q15485
O00623,grp_1265,P28328
O00629,grp_0048,O00629
O00716,grp_0049,O00716
O14497,grp_1025,Q8WUB8
O14521,grp_0050,O14521
O14561,grp_0051,O14561
O14579,grp_0052,O14579
O14593,grp_0053,O14593
O14617,grp_1395,P51809
O14682,grp_0784,Q53GT1
O14686,grp_0054,O14686
O14713,grp_0055,O14713
O14727,grp_0056,O14727
O14744,grp_0937,Q9HAD4
O14746,grp_0001,A0M8Q6
O14764,grp_0166,O75311
O14777,grp_0058,O14777
O14782,grp_0059,O14782
O14802,grp_0060,O14802
O14807,grp_0486,Q9UQ13
O14818,grp_0061,O14818
O14862,grp_1166,Q96P20
O14863,grp_0491,Q9Y6M5
O14867,grp_1832,Q9H2C0
O14893,grp_0211,O94906
O14908,grp_0063,O14908
O14910,grp_0064,O14910
O14920,grp_0065,O14920
O14925,grp_1726,Q9Y584
O14936,grp_1544,Q02641
O14949,grp_0066,O14949
O14957,grp_0066,O14949
O14964,grp_0067,O14964
O14972,grp_0851,Q6P9B9
O15047,grp_0184,O75533
O15055,grp_0068,O15055
O15066,grp_0059,O14782
O15078,grp_0069,O15078
O15091,grp_0070,O15091
O15111,grp_0071,O15111
O15131,grp_0072,O15131
O15143,grp_0073,O15143
O15144,grp_0073,O15143
O15145,grp_0073,O15143
O15151,grp_0076,O15151
O15160,grp_0077,O15160
O15169,grp_0078,O15169
O15182,grp_1245,P24588
O15212,grp_0928,Q9NUG6
O15213,grp_0047,O00566
O15230,grp_0079,O15230
O15232,grp_0851,Q6P9B9
O15234,grp_0018,O00148
O15235,grp_0081,O15235
O15239,grp_0082,O15239
O15259,grp_0083,O15259
O15265,grp_0084,O15265
O15269,grp_0085,O15269
O15270,grp_0085,O15269
O15273,grp_0612,Q9NPA0
O15287,grp_0087,O15287
O15294,grp_0088,O15294
O15315,grp_0089,O15315
O15318,grp_0060,O14802
O15342,grp_0090,O15342
O15360,grp_0087,O15287
O15371,grp_0032,O00303
O15372,grp_0032,O00303
O15392,grp_0093,O15392
O15399,grp_0747,Q16099
O15409,grp_1215,Q9BZS1
O15446,grp_0077,O15160
O15457,grp_0094,O15457
O15498,grp_0095,O15498
O15503,grp_0096,O15503
O15504,grp_0097,O15504
O15511,grp_0073,O15143
O15514,grp_0098,O15514
O15516,grp_1261,P27540
O15525,grp_0099,O15525
O15533,grp_0100,O15533
O15534,grp_1434,P56645
O15550,grp_0101,O15550
O15553,grp_0102,O15553
O43148,grp_0103,O43148
O43156,grp_0840,Q6NXR4
O43159,grp_0104,O43159
O43172,grp_0105,O43172
O43181,grp_0024,O00217
O43187,grp_0107,O43187
O43189,grp_0108,O43189
O43196,grp_0094,O15457
O43237,grp_1618,Q13409
O43242,grp_0025,O00231
O43257,grp_0840,Q6NXR4
O43264,grp_0473,Q9Y2V7
O43290,grp_0112,O43290
O43292,grp_0113,O43292
O43299,grp_1203,Q9BPX3
O43318,grp_0146,O60674
O43324,grp_1430,P56192
O43402,grp_0114,O43402
O43432,grp_0115,O43432
O43463,grp_1188,Q99549
O43482,grp_0116,O43482
O43502,grp_0089,O15315
O43504,grp_0891,Q7L523
O43513,grp_0000,A0JLT2
O43520,grp_0119,O43520
O43521,grp_0120,O43521
O43524,grp_0121,O43524
O43542,grp_0089,O15315
O43543,grp_0089,O15315
O43556,grp_0756,Q16586
O43557,grp_0122,O43557
O43615,grp_0172,O75394
O43617,grp_1761,Q86SZ2
O43633,grp_0123,O43633
O43660,grp_0937,Q9HAD4
O43674,grp_0082,O15239
O43676,grp_0082,O15239
O43677,grp_0082,O15239
O43678,grp_0024,O00217
O43681,grp_0125,O43681
O43684,grp_0937,Q9HAD4
O43709,grp_0126,O43709
O43716,grp_0127,O43716
O43719,grp_0965,Q8N684
O43734,grp_0128,O43734
O43741,grp_0129,O43741
O43747,grp_0001,A0M8Q6
O43790,grp_0837,Q6KB66
O43791,grp_0130,O43791
O43809,grp_0131,O43809
O43815,grp_0132,O43815
O43818,grp_0937,Q9HAD4
O43837,grp_0133,O43837
O43889,grp_0134,O43889
O43913,grp_0135,O43913
O43920,grp_0082,O15239
O43929,grp_0135,O43913
O43933,grp_0136,O43933
O60216,grp_0489,Q9UQE7
O60220,grp_0137,O60220
O60244,grp_0000,A0JLT2
O60264,grp_0111,O43257
O60293,grp_0139,O60293
O60306,grp_0196,O75934
O60312,grp_0140,O60312
O60318,grp_0141,O60318
O60341,grp_0142,O60341
O60423,grp_0774,Q3MIR4
O60494,grp_0460,Q9BXJ7
O60506,grp_0723,Q15427
O60524,grp_0143,O60524
O60563,grp_0146,O60674
O60566,grp_1000,Q8NG31
O60573,grp_0144,O60573
O60583,grp_0668,Q14004
O60603,grp_0023,O00206
O60645,grp_0851,Q6P9B9
O60656,grp_0478,Q9Y2B1
O60662,grp_0784,Q53GT1
O60671,grp_1296,P35249
O60673,grp_0562,Q9UI95
O60674,grp_0146,O60674
O60675,grp_0147,O60675
O60683,grp_1265,P28328
O60684,grp_1320,P40692
O60706,grp_0148,O60706
O60741,grp_0519,Q9P1Z3
O60749,grp_0865,Q6STE5
O60762,grp_1374,P49770
O60783,grp_0081,O15235
O60814,grp_0111,O43257
O60825,grp_1237,P22830
O60826,grp_0150,O60826
O60830,grp_0082,O15239
O60832,grp_0151,O60832
O60894,grp_1280,P30988
O60895,grp_0152,O60895
O60896,grp_0153,O60896
O60921,grp_1296,P35249
O60925,grp_0928,Q9NUG6
O60934,grp_0047,O00566
O60939,grp_1773,Q7Z6A9
O60941,grp_0156,O60941
O75027,grp_0932,Q9NUT2
O75072,grp_0157,O75072
O75140,grp_0158,O75140
O75143,grp_0522,Q9P278
O75147,grp_1773,Q7Z6A9
O75150,grp_0111,O43257
O75151,grp_0159,O75151
O75152,grp_0160,O75152
O75161,grp_0161,O75161
O75175,grp_1475,P62495
O75182,grp_0163,O75182
O75208,grp_1198,Q99807
O75251,grp_0024,O00217
O75306,grp_0024,O00217
O75311,grp_0166,O75311
O75317,grp_0167,O75317
O75348,grp_0168,O75348
O75351,grp_0169,O75351
O75380,grp_0024,O00217
O75381,grp_0171,O75381
O75385,grp_0522,Q9P278
O75394,grp_0081,O15235
O75419,grp_1638,Q13617
O75420,grp_0173,O75420
O75426,grp_0978,Q8NCQ5
O75431,grp_0174,O75431
O75436,grp_1359,P48740
O75438,grp_0082,O15239
O75439,grp_0175,O75439
O75444,grp_1734,Q9Y5Q3
O75445,grp_0176,O75445
O75446,grp_0939,Q9HAJ7
O75448,grp_0000,A0JLT2
O75449,grp_0453,Q9BW62
O75461,grp_0178,O75461
O75469,grp_0740,Q15788
O75474,grp_0179,O75474
O75477,grp_1294,P35232
O75478,grp_0180,O75478
O75486,grp_0084,O15265
O75489,grp_0024,O00217
O75496,grp_0182,O75496
O75528,grp_0183,O75528
O75529,grp_0084,O15265
O75530,grp_0937,Q9HAD4
O75533,grp_0184,O75533
O75534,grp_0185,O75534
O75569,grp_0186,O75569
O75575,grp_0060,O14802
O75578,grp_1648,Q13797
O75586,grp_0000,A0JLT2
O75592,grp_0188,O75592
O75636,grp_0727,Q15485
O75643,grp_0189,O75643
O75691,grp_0047,O00566
O75694,grp_0861,Q6PJI9
O75771,grp_0089,O15315
O75787,grp_0190,O75787
O75792,grp_1017,Q8TDP1
O75817,grp_0441,Q9BUL9
O75818,grp_1024,Q8WTX7
O75821,grp_0032,O00303
O75822,grp_0192,O75822
O75865,grp_1761,Q86SZ2
O75879,grp_0193,O75879
O75886,grp_0194,O75886
O75899,grp_0195,O75899
O75909,grp_0668,Q14004
O75934,grp_0196,O75934
O75943,grp_1296,P35249
O75947,grp_0198,O75947
O75964,grp_0198,O75947
O75971,grp_0199,O75971
O76003,grp_0200,O76003
O76013,grp_0837,Q6KB66
O76031,grp_0201,O76031
O76071,grp_0937,Q9HAD4
O76075,grp_0243,O96007
O76094,grp_0551,Q9UHB9
O94763,grp_0202,O94763
O94776,grp_0663,Q9BTC8
O94777,grp_0203,O94777
O94782,grp_0204,O94782
O94805,grp_1618,Q13409
O94817,grp_0205,O94817
O94822,grp_0143,O60524
O94823,grp_0140,O60312
O94826,grp_0207,O94826
O94855,grp_0230,O95487
O94864,grp_0084,O15265
O94874,grp_0143,O60524
O94888,grp_0243,O96007
O94889,grp_0784,Q53GT1
O94901,grp_0210,O94901
O94905,grp_1294,P35232
O94906,grp_0211,O94906
O94913,grp_1162,Q96MG7
O94921,grp_0212,O94921
O94927,grp_0213,O94927
O94952,grp_0214,O94952
O94973,grp_0851,Q6P9B9
O94979,grp_0215,O94979
O94986,grp_0216,O94986
O95059,grp_0184,O75533
O95067,grp_0013,A8MW99
O95072,grp_0217,O95072
