uniprot_id,source,structure_id,resolution,exp_method,chains,url,available,n_pdb_structures
A0JLT2,pdb,7emf,3.5,EM,S=1-244,https://files.rcsb.org/download/7emf.cif,True,10
A1A4S6,pdb,2mio,,NMR,A=728-786,https://files.rcsb.org/download/2mio.cif,True,1
A0AVF1,alphafold,AF-A0AVF1-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A0AVF1-F1-model_v6.cif,True,0
A0FGR9,alphafold,AF-A0FGR9-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A0FGR9-F1-model_v6.cif,True,0
A0FGR8,pdb,4npj,2.1,X-ray,A/B=363-660,https://files.rcsb.org/download/4npj.cif,True,4
A3KN83,alphafold,AF-A3KN83-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A3KN83-F1-model_v6.cif,True,0
A4D0T7,alphafold,AF-A4D0T7-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A4D0T7-F1-model_v6.cif,True,0
A1Z199,alphafold,AF-A1Z199-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A1Z199-F1-model_v6.cif,True,0
A2A288,alphafold,AF-A2A288-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A2A288-F1-model_v6.cif,True,0
A5D8V7,alphafold,AF-A5D8V7-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5D8V7-F1-model_v6.cif,True,0
A2RRP1,alphafold,AF-A2RRP1-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A2RRP1-F1-model_v6.cif,True,0
A5D8V6,alphafold,AF-A5D8V6-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5D8V6-F1-model_v6.cif,True,0
A5YKK6,pdb,4j8s,1.55,X-ray,A=800-1004,https://files.rcsb.org/download/4j8s.cif,True,21
A5X5Y0,alphafold,AF-A5X5Y0-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5X5Y0-F1-model_v6.cif,True,0
A5PLN9,alphafold,AF-A5PLN9-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5PLN9-F1-model_v6.cif,True,0
A6H8Y1,pdb,5n9g,2.7,X-ray,C/H=241-396,https://files.rcsb.org/download/5n9g.cif,True,13
A6ND01,pdb,5f4q,1.8,X-ray,A/B/C/D=20-228,https://files.rcsb.org/download/5f4q.cif,True,7
A6NED2,pdb,6f4t,1.22,X-ray,B=139-143,https://files.rcsb.org/download/6f4t.cif,True,3
A7MCY6,alphafold,AF-A7MCY6-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A7MCY6-F1-model_v6.cif,True,0
A6NFQ2,alphafold,AF-A6NFQ2-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A6NFQ2-F1-model_v6.cif,True,0
A6NGQ2,pdb,8x7v,3.01,EM,B=1-149,https://files.rcsb.org/download/8x7v.cif,True,2
A8MT69,pdb,4ne3,1.8,X-ray,B=8-81,https://files.rcsb.org/download/4ne3.cif,True,13
A8K0Z3,alphafold,AF-A8K0Z3-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A8K0Z3-F1-model_v6.cif,True,0
A6NIX2,alphafold,AF-A6NIX2-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A6NIX2-F1-model_v6.cif,True,0
A8K8P3,pdb,2k2i,,NMR,B=641-660,https://files.rcsb.org/download/2k2i.cif,True,1
B4DGM9,alphafold,AF-B4DGM9-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-B4DGM9-F1-model_v6.cif,True,0
A6NKF1,alphafold,AF-A6NKF1-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A6NKF1-F1-model_v6.cif,True,0
D6RGH6,pdb,4bry,2.89,X-ray,B=173-245,https://files.rcsb.org/download/4bry.cif,True,1
